Pickup_date	Count
2013-09-09	984
2014-11-12	43306
2016-03-01	45349
2014-09-26	49728
2015-05-19	48032
2015-03-09	44832
2015-03-06	63909
2016-04-25	37857
2013-09-19	1889
2016-10-03	30983
2016-07-26	36576
2015-12-22	47148
2016-08-15	35342
2016-08-31	33024
2014-08-01	50016
2015-04-09	51804
2016-05-03	44265
2015-09-02	43424
2016-01-28	47519
2014-06-03	39451
2016-07-17	48064
2016-11-08	30389
2015-09-28	41854
2014-01-24	35203
2015-05-10	64676
2016-12-19	37711
2013-09-12	1321
2014-02-16	38390
2014-06-11	40021
2016-08-23	32399
2015-03-16	44450
2015-03-12	54166
2015-04-24	65736
2015-04-01	51943
2014-02-18	28463
2014-08-13	38164
2013-11-18	11524
2016-07-03	41278
2015-06-15	46807
2013-10-05	4336
2014-11-17	43198
2013-08-14	181
2015-03-11	50252
2014-07-04	41591
2014-07-06	40403
2015-10-16	58548
2016-06-02	46339
2016-05-26	47878
2016-02-04	48063
2015-11-02	41085
2015-12-31	66960
2015-11-27	41880
2013-09-18	1714
2015-08-01	67702
2014-06-13	52473
2014-09-04	43408
2013-09-20	2216
2013-09-25	2319
2016-09-23	44341
2015-04-19	64273
2013-11-23	17191
2016-01-13	45839
2016-09-30	48980
2016-04-22	53773
2016-06-16	45686
2015-10-30	63849
2016-01-01	64396
2015-12-29	38222
2013-09-14	1683
2014-11-01	77121
2014-02-24	32957
2014-07-23	38895
2015-06-19	59705
2016-01-19	43963
2015-10-13	42850
2016-05-09	40281
2015-04-07	47404
2016-07-19	35325
2015-09-29	43666
2014-04-29	39995
2013-10-24	7560
2015-08-24	38720
2014-06-23	35597
2016-09-15	38601
2016-02-08	41975
2014-09-01	35949
2016-10-07	44613
2014-07-14	37208
2013-09-13	1573
2016-12-12	33899
2015-01-20	40914
2014-10-23	48776
2016-05-23	39268
2013-08-06	22
2013-12-04	15270
2013-12-14	18084
2014-07-13	46126
2014-04-15	38835
2016-09-26	32165
2016-12-13	34984
2015-09-06	53123
2014-09-18	43947
2013-11-03	9406
2015-09-21	42266
2015-12-05	68091
2016-08-26	42258
2014-09-13	64251
2014-04-18	46019
2015-06-22	44124
2015-04-28	44227
2016-02-03	46115
2016-03-25	51883
2014-10-09	45103
2015-11-21	68434
2014-01-08	22579
2016-09-09	44445
2013-11-06	9954
2016-08-01	35850
2013-12-17	18536
2013-10-22	5638
2016-06-17	52327
2013-08-01	12
2014-06-22	47441
2014-03-21	45708
2015-05-16	76005
2014-07-15	38316
