month	year	price
1	2013	353.7
2	2013	376.4
3	2013	374.1
4	2013	358.9
5	2013	357.7
6	2013	359.5
7	2013	369.2
8	2013	371.5
9	2013	363.9
10	2013	341.5
11	2013	337
12	2013	349.3
1	2014	347.7
2	2014	347.1
3	2014	359.1
4	2014	366.3
5	2014	372.9
6	2014	375.2
7	2014	371.7
8	2014	353.8
9	2014	342.5
10	2014	323.6
11	2014	300.9
12	2014	272.3
1	2015	226.4
2	2015	222.5
3	2015	240.3
4	2015	244.4
5	2015	268
6	2015	275.3
7	2015	275.8
8	2015	254.3
9	2015	227
10	2015	214.8
11	2015	212.9
12	2015	206.4
1	2016	194.5
2	2016	178
3	2016	184.7
4	2016	206.1
5	2016	223.2
6	2016	228.4
7	2016	222.2
8	2016	213.7
9	2016	215.7
10	2016	218.5
11	2016	229
12	2016	236.1
1	2017	245.6
2	2017	238.7
3	2017	233.6
