Pickup_dayofweek	pickup_hour	Count
Sunday	1	569218
Sunday	19	426072
Thursday	7	240334
Monday	8	333272
Wednesday	6	105561
Wednesday	7	231691
Monday	5	68419
Sunday	2	462818
Wednesday	9	342701
Thursday	15	374349
Monday	15	327019
Wednesday	0	211282
Sunday	5	146506
Saturday	23	644549
Saturday	6	103320
Sunday	8	126321
Thursday	8	356884
Saturday	10	278862
Tuesday	11	270267
Thursday	20	473401
Saturday	1	497243
Friday	18	594994
Monday	20	353293
Friday	6	113540
Monday	17	392346
Wednesday	8	352410
Friday	11	294017
Tuesday	4	56035
Wednesday	16	392889
Thursday	12	287450
Sunday	15	386391
Monday	9	321552
Friday	15	406050
Friday	22	581183
Tuesday	14	308807
Friday	5	72893
Sunday	7	101045
Saturday	9	239855
Wednesday	21	402865
Saturday	3	325280
Tuesday	9	336132
Friday	0	315415
Thursday	19	515346
Saturday	17	509806
Tuesday	13	271887
Saturday	4	248085
Tuesday	7	230293
Thursday	17	470507
Friday	16	458837
Monday	1	154642
Monday	4	80841
Saturday	19	600179
Monday	7	223278
Tuesday	6	103749
Saturday	0	565381
Thursday	0	250406
Sunday	12	303628
Monday	3	77375
Wednesday	15	359753
Wednesday	20	434166
Wednesday	10	297304
Sunday	6	99148
Monday	22	279658
Saturday	11	312962
Thursday	2	111367
Saturday	13	356886
Tuesday	19	448929
Wednesday	13	288422
Sunday	16	409744
Friday	4	93552
Monday	18	424134
Wednesday	3	62905
Thursday	13	293991
Friday	2	156023
Sunday	11	278295
Friday	9	347541
Thursday	22	428455
Friday	3	109968
Monday	16	354283
Monday	13	261365
Thursday	16	413687
Tuesday	16	368621
Tuesday	2	74903
Tuesday	12	268591
Wednesday	18	492586
Thursday	1	171703
Monday	19	405121
Friday	1	229554
Wednesday	1	140915
Friday	19	611825
Friday	21	567716
Friday	8	348967
Sunday	23	305089
Tuesday	3	53930
Thursday	4	74226
Sunday	22	347263
Monday	21	316612
Friday	13	282272
Monday	12	256740
Saturday	20	582778
Tuesday	10	289875
Wednesday	2	88269
Sunday	0	614493
Sunday	4	292410
Friday	17	526946
Sunday	17	421197
Sunday	14	357547
Tuesday	22	328021
Sunday	9	181407
Monday	2	103119
Friday	12	284238
Friday	14	344776
Tuesday	18	461271
Wednesday	14	324716
Tuesday	20	394806
Tuesday	21	363456
Saturday	16	477833
Thursday	21	452157
Thursday	23	389173
Wednesday	23	324726
Saturday	12	337317
Monday	10	277846
Tuesday	0	180230
Wednesday	17	447579
Monday	0	232594
Tuesday	17	413856
Wednesday	12	283359
Friday	20	576669
Sunday	3	383073
Saturday	5	128341
Thursday	11	286466
Sunday	20	390468
Saturday	22	620320
Thursday	6	111441
Thursday	18	521398
Wednesday	19	485757
Thursday	14	336131
Friday	23	595584
Monday	23	236843
Tuesday	1	118990
Wednesday	4	60619
Tuesday	23	279852
Friday	7	234410
Thursday	5	64407
Tuesday	5	55330
Friday	10	308272
Saturday	15	440267
Monday	6	108606
Saturday	8	179794
Sunday	18	440733
Monday	11	258892
Thursday	3	80331
Saturday	14	394450
Wednesday	22	372860
Saturday	7	126882
Sunday	10	236378
Monday	14	295437
Thursday	10	302036
Wednesday	5	56922
Thursday	9	345949
Tuesday	15	342179
Saturday	18	565835
Saturday	2	409000
Wednesday	11	281346
Saturday	21	594834
Sunday	21	366157
Tuesday	8	348214
Sunday	13	321698
