Pickup_dayofweek	pickup_date	pickup_hour	Count
Tuesday	2016-07-05	15	1894
Thursday	2016-07-14	23	2175
Tuesday	2016-07-26	19	2620
Wednesday	2016-07-27	19	2719
Saturday	2016-06-11	10	2040
Thursday	2016-06-30	3	396
Saturday	2014-09-13	9	1579
Tuesday	2016-08-02	10	1629
Saturday	2016-08-13	17	2855
Wednesday	2016-08-24	18	2415
Monday	2016-08-29	2	506
Wednesday	2015-03-25	15	3009
Tuesday	2014-04-22	15	1794
Wednesday	2014-04-23	19	2979
Monday	2014-04-28	13	1416
Saturday	2014-03-29	3	1925
Monday	2016-12-26	14	1439
Monday	2014-07-21	22	1599
Sunday	2015-04-05	2	3281
Sunday	2015-04-05	11	2188
Tuesday	2015-04-14	23	1888
Monday	2014-11-03	19	2662
Thursday	2014-11-06	5	392
Thursday	2014-11-13	16	2829
Saturday	2014-05-24	0	3393
Wednesday	2014-05-28	14	1868
Thursday	2014-05-29	4	397
Saturday	2014-05-31	15	3028
Wednesday	2014-12-17	11	1886
Saturday	2015-09-26	18	3710
Sunday	2015-09-27	11	1956
Tuesday	2016-03-01	12	1783
Thursday	2016-03-03	3	450
Saturday	2016-03-05	12	2508
Monday	2016-03-07	13	1813
Saturday	2014-08-23	11	1548
Sunday	2014-08-24	1	3538
Saturday	2015-02-14	19	5049
Sunday	2015-02-15	20	3715
Monday	2015-12-14	11	1757
Monday	2016-03-28	4	437
Tuesday	2016-03-29	16	2389
Thursday	2016-03-31	13	1913
Friday	2015-05-01	13	2186
Thursday	2015-05-14	6	786
Saturday	2016-02-06	6	612
Saturday	2016-02-06	13	2740
Thursday	2013-11-07	14	549
Sunday	2013-11-17	3	597
Tuesday	2013-11-26	7	455
Saturday	2013-11-30	5	263
Saturday	2013-11-30	17	1009
Sunday	2014-02-09	21	1375
Friday	2014-02-21	20	2810
Monday	2014-02-24	17	2342
Monday	2016-05-02	23	1517
Sunday	2016-05-08	8	994
Monday	2014-06-02	4	523
Friday	2014-06-06	9	1986
Friday	2014-06-06	20	3327
Saturday	2014-06-07	4	1597
Monday	2014-06-09	14	1603
Thursday	2015-01-01	1	6859
Tuesday	2015-02-17	6	469
Tuesday	2015-10-06	13	1699
Sunday	2015-10-11	0	4326
Wednesday	2014-11-19	19	3572
Thursday	2014-11-27	12	1957
Friday	2014-10-03	3	689
Wednesday	2014-10-08	2	494
Friday	2014-10-17	16	2824
Sunday	2015-12-20	6	762
Friday	2015-12-25	0	2661
Sunday	2015-12-27	9	936
Friday	2016-04-01	12	1988
Monday	2016-04-04	6	823
Monday	2016-04-04	15	2662
Saturday	2016-04-09	15	3482
Saturday	2016-04-09	18	3833
Sunday	2014-08-03	21	2316
Friday	2014-08-08	0	2014
Monday	2014-08-18	23	1422
Tuesday	2013-10-08	7	117
Wednesday	2013-10-16	9	205
Sunday	2014-05-04	22	2135
Sunday	2014-05-11	20	2738
Tuesday	2014-05-13	23	1860
Friday	2014-05-16	14	2160
Tuesday	2015-06-16	0	1255
Saturday	2015-06-27	2	3181
Saturday	2015-07-04	22	3476
Tuesday	2015-07-07	9	2271
Wednesday	2015-07-08	23	2227
Friday	2015-07-17	4	610
Sunday	2015-08-02	10	1613
Friday	2015-08-14	16	2863
Saturday	2015-08-15	22	4278
Thursday	2013-09-19	23	92
Saturday	2014-09-27	22	4201
Tuesday	2015-09-15	9	2180
Wednesday	2013-08-28	6	8
Thursday	2013-08-29	6	8
Saturday	2013-08-31	21	55
Saturday	2014-01-04	8	463
Saturday	2014-01-11	1	1408
Sunday	2014-01-12	19	1368
Wednesday	2014-01-15	9	1270
Wednesday	2014-01-15	12	1054
Friday	2014-03-14	13	1654
Sunday	2014-03-16	2	2687
Sunday	2014-03-16	7	536
Sunday	2015-07-19	8	874
Tuesday	2015-07-28	23	2118
Thursday	2016-09-08	21	2248
Monday	2016-09-12	17	1595
Sunday	2016-09-18	20	1990
Wednesday	2016-09-28	20	2640
Monday	2014-04-14	1	974
Thursday	2014-12-04	7	1772
Sunday	2014-12-07	22	2400
Tuesday	2014-12-09	17	2839
Tuesday	2013-12-17	4	135
Saturday	2013-12-21	0	1491
Tuesday	2013-12-24	11	889
Sunday	2013-12-29	8	256
Sunday	2015-06-07	16	3052
Thursday	2015-10-29	14	2289
Friday	2016-02-19	11	1974
Wednesday	2015-05-20	2	759
Wednesday	2015-05-20	11	1987
Thursday	2015-05-28	11	2068
Thursday	2015-05-28	14	2468
Saturday	2016-10-01	19	3070
Saturday	2016-10-08	4	1382
Monday	2016-10-10	8	1182
Thursday	2016-10-27	7	1381
Sunday	2016-10-30	10	1262
Sunday	2016-10-30	17	2708
Monday	2016-10-31	8	2010
Tuesday	2014-10-28	20	2426
Wednesday	2016-01-20	21	2592
Wednesday	2015-11-04	17	2833
Monday	2015-11-23	23	1722
Sunday	2015-08-23	21	2611
Tuesday	2015-08-25	0	1304
Wednesday	2016-11-02	0	914
Wednesday	2016-11-09	23	1347
Friday	2016-11-11	12	1308
Tuesday	2016-11-15	17	2411
Monday	2016-11-28	4	289
Saturday	2014-07-05	19	2758
Wednesday	2014-07-16	10	1660
Saturday	2014-07-19	14	2284
Thursday	2015-04-16	12	2011
Monday	2015-04-20	2	652
Thursday	2015-04-23	15	2847
Saturday	2015-01-17	23	4368
Saturday	2015-01-31	17	3745
Sunday	2016-12-11	8	718
Wednesday	2016-12-14	0	983
Saturday	2016-12-17	8	633
Thursday	2014-05-08	1	964
Thursday	2014-05-08	2	608
Monday	2014-05-19	8	1943
Tuesday	2015-09-22	9	2154
