Pickup_dayofweek	pickup_year	pickup_hour	Count
Saturday	2014	19	183176
Monday	2014	11	76012
Friday	2016	8	116768
Friday	2016	14	111232
Wednesday	2013	7	4772
Thursday	2015	20	176665
Friday	2015	6	40993
Monday	2013	9	7559
Wednesday	2013	10	6529
Monday	2015	19	145968
Friday	2013	8	7685
Tuesday	2015	18	165367
Friday	2013	20	13058
Thursday	2016	1	48412
Thursday	2015	8	130872
Saturday	2015	19	219884
Sunday	2015	10	87146
Sunday	2013	21	7446
Saturday	2014	21	183927
Monday	2014	5	20231
Wednesday	2016	13	91429
Sunday	2013	14	7959
Tuesday	2015	11	96106
Friday	2013	7	5191
Wednesday	2014	17	139667
Sunday	2014	10	65778
Saturday	2015	22	229551
Saturday	2013	21	11856
Tuesday	2013	18	13012
Thursday	2013	17	11234
Thursday	2016	10	94959
Saturday	2015	9	87883
Sunday	2016	13	102999
Wednesday	2015	5	20138
Monday	2014	8	95473
Saturday	2014	22	191352
Thursday	2014	10	89479
Friday	2014	6	30825
Monday	2016	17	127247
Wednesday	2016	0	61159
Thursday	2013	6	2594
Monday	2016	8	107246
Monday	2016	12	80300
Thursday	2016	2	29908
Thursday	2013	8	7189
Wednesday	2015	17	157666
Saturday	2014	9	67347
Sunday	2014	4	92508
Saturday	2015	5	47278
Sunday	2016	21	109786
Thursday	2014	19	152663
Friday	2014	16	138412
Sunday	2014	5	46130
Saturday	2016	9	79336
Saturday	2015	6	37980
Monday	2013	23	5466
Tuesday	2015	13	96930
Monday	2015	15	116954
Sunday	2014	20	120220
Sunday	2015	13	117704
Tuesday	2015	15	121570
Monday	2013	2	2319
Wednesday	2014	8	102433
Monday	2014	10	81587
Wednesday	2013	22	7182
Monday	2014	1	48519
Thursday	2014	14	99140
Saturday	2016	20	175201
Tuesday	2016	17	130311
Sunday	2015	3	144074
Wednesday	2013	6	2496
Sunday	2016	23	90855
Sunday	2015	0	232461
Tuesday	2015	0	65034
Thursday	2015	1	69289
Thursday	2014	9	100666
Wednesday	2013	20	9065
Sunday	2015	23	114513
Saturday	2014	23	196332
Sunday	2016	2	133569
Sunday	2016	6	30344
Saturday	2015	23	240683
Friday	2013	19	13769
Sunday	2013	7	2651
Wednesday	2015	11	100351
Monday	2014	15	97276
Friday	2016	10	99493
Tuesday	2013	7	5071
Friday	2015	9	125649
Saturday	2015	0	210225
Friday	2013	10	7375
Monday	2014	22	85402
Monday	2013	3	1979
Tuesday	2015	19	161745
Wednesday	2013	16	9725
Friday	2013	14	8896
Thursday	2013	21	9491
Wednesday	2015	12	100409
Tuesday	2014	16	110338
Friday	2016	18	189623
Tuesday	2016	15	107107
Saturday	2013	11	6513
Sunday	2014	23	94074
Saturday	2015	20	213212
Tuesday	2013	15	10178
Wednesday	2013	11	6611
Tuesday	2016	1	35430
Sunday	2016	10	78206
Wednesday	2016	2	24279
Wednesday	2016	11	88142
Monday	2014	3	24535
Friday	2014	19	186662
Friday	2013	13	7605
Monday	2014	16	105775
Monday	2014	23	71755
Thursday	2014	5	18511
Wednesday	2013	19	10270
Friday	2013	23	11509
Saturday	2013	2	7969
Saturday	2014	16	144549
Sunday	2014	15	114204
Tuesday	2014	5	16776
Thursday	2016	21	137439
Thursday	2014	0	74693
Thursday	2016	7	78869
Sunday	2016	18	137125
Friday	2015	19	220943
Saturday	2015	3	119230
Monday	2014	2	32568
Wednesday	2013	12	6688
Saturday	2013	15	9484
Monday	2013	1	3067
Tuesday	2015	4	20431
Tuesday	2015	5	19450
Saturday	2013	8	3960
Thursday	2013	0	4864
Sunday	2015	17	154345
Tuesday	2014	6	29308
Friday	2013	11	7466
Tuesday	2013	11	7172
Sunday	2013	19	9115
Sunday	2013	20	8418
Tuesday	2013	19	12778
Saturday	2015	18	205695
Saturday	2016	10	91999
Saturday	2014	7	36056
Sunday	2013	15	8634
Sunday	2013	16	9415
Friday	2016	6	39136
Tuesday	2016	6	34809
Saturday	2015	21	219418
Thursday	2016	18	164954
Saturday	2014	12	95667
Sunday	2015	19	156608
Friday	2016	5	24243
Monday	2013	21	7708
Tuesday	2014	4	18093
Thursday	2014	21	134253
Thursday	2015	4	31004
Sunday	2016	14	112640
Saturday	2014	15	131795
Wednesday	2013	2	2578
Monday	2013	4	2158
Friday	2015	8	125892
Tuesday	2015	7	83385
Thursday	2015	16	150903
Sunday	2015	15	142120
Wednesday	2014	22	118268
Tuesday	2016	14	96635
Friday	2016	9	114492
Tuesday	2016	18	146142
Tuesday	2013	4	2018
Thursday	2013	4	2015
Saturday	2015	17	184776
Monday	2015	21	114945
Sunday	2014	21	112940
Wednesday	2014	21	128043
Sunday	2015	21	135985
Thursday	2016	4	19395
Tuesday	2016	2	22096
Wednesday	2016	16	121069
Tuesday	2013	16	11204
Wednesday	2014	7	66275
Friday	2015	0	114291
