Pickup_date	pickup_hour	Count
2014-02-05	23	1097
2014-02-12	7	1172
2014-02-22	16	2410
2014-02-24	23	1132
2014-02-28	19	3686
2014-02-02	12	1114
2014-02-04	8	1593
2014-02-21	0	1384
2014-02-25	0	867
2014-02-15	0	2897
2014-02-16	2	1885
2014-02-25	12	1435
2014-02-26	23	1449
2014-02-07	5	254
2014-02-07	12	1369
2014-02-12	8	1842
2014-02-13	4	230
2014-02-01	8	753
2014-02-02	7	384
2014-02-04	20	1834
2014-02-16	4	1281
2014-02-07	16	2251
2014-02-21	7	959
2014-02-15	8	748
2014-02-02	10	859
2014-02-10	13	1326
2014-02-22	1	2447
2014-02-25	2	335
2014-02-18	1	506
2014-02-19	10	1383
2014-02-13	11	532
2014-02-16	17	2188
2014-02-18	6	339
2014-02-23	4	1766
2014-02-25	15	1856
2014-02-08	22	3040
2014-02-15	20	2725
2014-02-25	22	1617
2014-02-10	9	1701
2014-02-14	4	235
2014-02-12	12	1570
2014-02-15	17	2441
2014-02-22	3	1645
2014-02-10	1	460
2014-02-10	6	433
2014-02-17	4	493
2014-02-28	5	354
2014-02-08	4	1149
2014-02-22	21	3409
2014-02-23	13	1439
2014-02-23	14	1691
2014-02-08	5	578
2014-02-14	7	979
2014-02-17	17	1964
2014-02-20	12	1469
2014-02-23	18	2286
2014-02-02	22	2035
2014-02-09	21	1375
2014-02-20	20	2499
2014-02-06	2	347
2014-02-09	22	1212
2014-02-10	16	1866
2014-02-15	23	2613
2014-02-18	22	1407
2014-02-28	10	1823
2014-02-10	3	265
2014-02-15	12	1393
2014-02-24	9	1647
2014-02-13	18	1683
2014-02-18	16	1879
2014-02-02	13	1248
2014-02-04	2	230
2014-02-05	1	525
2014-02-09	4	1427
2014-02-14	20	3723
2014-02-23	1	3017
2014-02-25	10	1469
2014-02-24	20	2061
2014-02-07	10	1426
2014-02-17	22	1403
2014-02-26	1	586
2014-02-01	10	1066
2014-02-12	23	1552
2014-02-05	15	1540
2014-02-06	9	1626
2014-02-14	6	358
2014-02-21	18	2988
2014-02-02	2	2061
2014-02-13	1	648
2014-02-05	5	115
2014-02-11	5	234
2014-02-16	7	438
2014-02-09	3	1818
2014-02-11	19	2449
2014-02-15	5	714
2014-02-02	19	1737
2014-02-03	3	374
2014-02-24	8	1778
2014-02-09	2	2160
2014-02-09	11	1155
2014-02-09	5	692
2014-02-27	17	2807
2014-02-04	17	2108
2014-02-05	17	1869
2014-02-13	6	244
2014-02-06	21	2031
2014-02-07	13	1353
2014-02-22	8	829
2014-02-07	11	1323
2014-02-08	16	2415
2014-02-21	9	1599
2014-02-22	2	1947
2014-02-09	10	957
2014-02-13	8	626
2014-02-13	9	608
2014-02-23	6	521
2014-02-05	21	1379
2014-02-12	11	1526
2014-02-17	1	1208
2014-02-21	11	1474
2014-02-01	17	2308
2014-02-03	18	1423
2014-02-17	3	592
2014-02-07	14	1660
2014-02-24	6	486
2014-02-25	11	1433
2014-02-27	10	1588
2014-02-01	3	1506
2014-02-05	0	853
2014-02-05	20	1542
2014-02-11	2	325
2014-02-11	23	1378
2014-02-15	6	432
2014-02-23	23	1457
2014-02-26	4	284
2014-02-26	11	1470
2014-02-07	0	1245
2014-02-13	16	1436
2014-02-15	21	2626
2014-02-20	2	478
2014-02-20	9	1600
2014-02-24	10	1403
2014-02-06	17	2302
2014-02-08	10	1132
2014-02-11	6	442
2014-02-19	22	1589
2014-02-27	23	2101
2014-02-11	14	1695
2014-02-23	19	2321
2014-02-28	23	3240
2014-02-09	14	1604
2014-02-09	18	2182
2014-02-10	12	1296
2014-02-10	15	1675
2014-02-18	4	274
2014-02-23	3	2181
2014-02-23	8	567
2014-02-02	11	985
2014-02-05	22	1295
2014-02-26	10	1614
2014-02-13	21	1714
2014-02-01	23	2690
2014-02-04	22	1368
2014-02-08	6	411
2014-02-19	9	1600
2014-02-09	1	2527
2014-02-16	9	763
2014-02-01	0	2396
