Date	Daily Precipitation	Daily Snow Fall	Daily Average Wind Speed	Daily Peak Wind Speed	Temperature
2/7/2014	0	0	10.63333333	27	28.59090909
3/8/2015	0	0	7.766666667	32.66666667	41.12087912
9/29/2015	0.08	0	5.8	20.33333333	74.86111111
1/22/2016	0.01	0.2	9.5	24.33333333	26.72164948
4/11/2014	0	0	7.833333333	23.66666667	60.15730337
6/23/2014	0	0	6.5	21.66666667	72.62921348
8/20/2014	0	0	4.9	17	74.72727273
8/21/2014	0.382	0	6.033333333	19.33333333	73.47115385
10/14/2014	0.03375	0	9.866666667	27.66666667	69.32258065
11/5/2014	0	0	7.8	24.66666667	59.21590909
11/27/2014	0.68	None	8.8	26.33333333	36.7265625
12/26/2014	0.004	0	8.9	22	44.48863636
2/20/2016	0	0	11	28.33333333	50.07865169
4/19/2016	0	0	11.43333333	31.66666667	64.46590909
8/1/2016	0.622	0	8.1	21	73.27118644
11/10/2016	0.015	0	10	28.66666667	50.05747126
11/12/2016	0	0	9.5	26	44.90909091
10/29/2013	0	0	6.266666667	16	49.57954545
12/10/2013	0.13875	1.533333333	9.933333333	27.66666667	34.25
2/28/2015	0	5.033333333	None	21.33333333	22.72727273
3/25/2015	0.073333333	0	5.8	22.66666667	39.89108911
10/5/2015	0	0	9.666666667	23	58.21649485
12/31/2015	0.2	0	9.766666667	24.33333333	46.63461538
8/18/2013	None	0	4.3	19.33333333	71.54545455
11/5/2013	0	0	5.8	16.33333333	48.38636364
7/5/2014	0.1375	0	11.43333333	29.33333333	73.97752809
7/15/2014	1.12	0	5.9	25.66666667	74.57575758
3/22/2015	0	0	13.63333333	32	37.08988764
4/9/2015	0.0075	0	10.96666667	25	39.88429752
10/4/2015	0.01	0	15.1	31.66666667	57.61290323
10/22/2015	0	0	7.866666667	22.33333333	65.06818182
1/9/2016	0.02	0	10.46666667	23.33333333	45.11403509
4/23/2016	0.13875	0	10.06666667	25.33333333	63.01941748
9/17/2016	0	0	6.6	20.66666667	69.25531915
11/18/2016	0	0	5.233333333	16	54.625
2/2/2014	None	0	5.2	18.66666667	42.03883495
5/7/2014	0	0	7.033333333	22.33333333	58.15730337
8/17/2014	0.01	0	8.333333333	22	74.54545455
8/28/2014	0	0	10.06666667	27.66666667	75
2/19/2015	0	0	17.9	36.66666667	18.15909091
8/16/2015	0	0	4.533333333	22.66666667	82.38297872
11/14/2015	0	0	13.86666667	38.33333333	46.29545455
11/26/2015	0	0	4.5	16.33333333	50.125
5/9/2016	0.04625	0	10.5	34.33333333	62.84090909
3/9/2014	0	0	10.8	25.66666667	40.47727273
5/5/2015	0	0	5.366666667	19.66666667	70.36363636
2/5/2016	0.466	3.166666667	14.13333333	34.33333333	34.99280576
7/29/2016	0.7375	0	8.1	23	75.09160305
8/18/2016	0.021666667	0	4	14.5	79.01136364
10/19/2016	0	0	7.2	21.66666667	74.59090909
9/24/2013	0	0	7.366666667	19.33333333	60.81818182
10/15/2013	0	0	4.833333333	17	59.84269663
12/8/2013	0.053333333	0.7	8.333333333	22.33333333	30.82539683
1/27/2014	0	0	11.7	33.66666667	33.42045455
3/23/2014	0	0	12.5	27.33333333	38.18181818
4/20/2014	0	0	9	27	49.32954545
7/9/2014	0.033333333	0	8.3	24.66666667	77.58064516
10/27/2014	0	0	8.866666667	25	56.88636364
7/18/2015	0.173333333	0	8.466666667	21	77.24324324
11/25/2015	0	0	4.266666667	16	43.02272727
2/6/2016	0.06125	0	7.6	21.33333333	35.26136364
4/14/2016	0	0	7.366666667	20	49.05555556
11/2/2016	0	0	6.766666667	17.33333333	61.79545455
9/11/2013	0	0	8.1	24.66666667	82.32954545
