Pickup Date,Number of Trips
3/1/2016,372860
3/9/2015,392004
9/9/2013,451139
9/26/2014,448350
5/19/2015,432927
11/12/2014,444728
3/6/2015,446826
9/19/2013,503989
4/25/2016,333117
7/26/2016,350441
4/9/2015,460465
8/1/2014,453421
8/31/2016,320945
8/15/2016,306095
9/2/2015,368350
12/22/2015,355196
10/3/2016,288554
5/3/2016,400481
6/3/2014,461973
1/28/2016,383319
2/16/2014,232115
9/12/2013,503511
1/24/2014,509475
5/10/2015,405420
12/19/2016,347157
7/17/2016,325650
9/28/2015,323253
6/11/2014,477199
11/8/2016,318977
3/12/2015,461711
3/16/2015,374811
11/18/2013,424991
7/3/2016,232339
4/24/2015,474054
4/1/2015,440231
8/13/2014,434384
2/18/2014,155717
8/23/2016,305060
10/5/2013,538362
10/16/2015,430402
3/11/2015,428356
11/17/2014,402182
7/6/2014,313533
7/4/2014,309641
8/14/2013,457818
6/15/2015,374847
9/18/2013,484566
12/31/2015,339931
6/2/2016,392912
11/2/2015,348537
5/26/2016,388585
11/27/2015,275075
2/4/2016,394689
9/4/2014,469486
9/20/2013,523105
9/25/2013,461742
6/13/2014,496505
8/1/2015,389719
4/19/2015,445771
9/23/2016,359637
11/23/2013,553834
1/13/2016,395081
1/1/2016,345032
6/16/2016,398713
9/30/2016,371949
4/22/2016,388306
9/14/2013,518158
12/29/2015,311728
10/30/2015,428765
11/1/2014,561397
7/23/2014,466710
10/13/2015,379456
6/19/2015,436295
1/19/2016,385179
2/24/2014,122404
10/24/2013,513908
7/19/2016,344305
4/29/2014,483131
4/7/2015,425901
8/24/2015,317578
9/29/2015,360435
5/9/2016,349280
6/23/2014,413188
9/15/2016,365141
9/13/2013,523229
7/14/2014,416381
1/20/2015,405569
2/8/2016,343054
10/23/2014,471808
12/12/2016,330208
9/1/2014,319144
10/7/2016,366366
12/4/2013,471816
12/14/2013,516280
5/23/2016,346976
8/6/2013,448238
4/15/2014,481412
11/3/2013,482831
7/13/2014,410473
9/18/2014,464346
9/26/2016,320992
9/21/2015,359048
9/6/2015,300945
12/13/2016,352841
12/5/2015,451083
9/13/2014,513493
4/18/2014,514878
4/28/2015,411752
3/25/2016,399739
8/26/2016,325708
6/22/2015,374831
2/3/2016,372012
11/6/2013,483100
1/8/2014,473567
12/17/2013,481705
10/22/2013,466770
10/9/2014,477348
11/21/2015,439300
9/9/2016,383515
8/1/2016,308754
7/15/2014,436609
5/16/2015,479571
9/25/2014,426436
6/22/2014,430744
3/21/2014,516521
1/5/2014,388522
8/1/2013,307244
6/17/2016,388347
8/6/2014,439500
12/27/2014,323692
8/3/2013,226536
12/9/2014,437214
9/27/2016,342008
6/19/2014,487087
10/23/2016,343509
2/28/2014,150379
8/7/2014,446621
8/21/2014,441611
12/30/2015,319644
8/16/2016,333612
10/27/2014,411841
8/21/2013,454059
3/9/2014,473436
2/13/2014,204713
11/9/2014,445905
3/5/2014,508361
9/20/2015,392919
4/30/2016,420530
3/2/2014,462057
7/21/2016,363722
12/9/2013,452087
3/21/2015,468099
2/25/2015,444217
9/26/2013,484927
1/6/2014,395414
7/2/2014,439416
6/21/2014,473403
11/27/2014,296304
9/3/2014,441023
6/9/2014,440151
5/11/2014,454112
11/30/2015,346990
5/27/2016,364940
9/15/2015,377633
12/18/2013,488369
9/4/2015,362203
8/23/2013,464468
2/9/2015,381099
2/17/2015,394340
2/3/2015,421097
3/30/2014,462765
7/2/2016,266273
5/25/2015,301694
3/19/2014,489552
9/2/2013,332255
8/5/2013,406368
11/20/2014,458579
9/17/2015,410903
2/4/2015,415596
10/5/2014,416214
1/3/2014,274835
10/13/2013,462755
6/23/2015,406130
8/6/2016,324401
9/10/2014,466581
5/6/2015,444938
3/16/2014,485004
2/7/2015,485486
8/8/2013,437122
10/20/2016,366180
12/6/2015,398874
5/7/2016,433289
2/1/2015,423097
5/1/2014,492678
5/14/2014,466650
9/10/2015,401247
8/10/2014,372114
7/21/2015,375026
10/24/2015,436225
3/26/2014,502749
8/5/2016,343469
4/26/2016,371400
8/10/2015,320988
5/31/2016,340816
