pickup_date	Count
2015-05-19	85371
2015-03-09	53920
2015-03-06	83134
2015-04-09	77520
2015-05-10	80146
2015-04-24	99688
2015-04-01	69223
2015-03-12	74038
2015-03-16	54824
2015-03-11	65315
2015-06-15	85857
2015-04-19	78107
2015-06-19	101703
2015-04-07	68079
2015-01-20	55867
2015-06-22	75418
2015-04-28	68863
2015-05-16	121557
2015-02-25	75992
2015-03-21	80745
2015-02-03	71532
2015-02-09	63306
2015-02-17	74221
2015-05-25	59748
2015-02-04	68237
2015-06-23	93172
2015-05-06	80447
2015-02-07	82752
2015-02-01	78592
2015-02-10	66197
2015-03-22	69337
2015-04-18	94196
2015-01-24	82588
2015-05-03	80300
2015-04-08	72023
2015-06-05	101922
2015-05-18	76414
2015-06-09	82463
2015-06-24	91388
2015-01-23	73363
2015-05-23	78343
2015-04-22	82124
2015-06-27	136193
2015-06-11	102013
2015-03-19	75839
2015-03-13	79272
2015-05-21	95146
2015-06-01	93499
2015-04-11	82547
2015-01-11	58751
2015-04-15	66534
2015-04-27	64783
2015-04-16	78808
2015-06-26	99508
2015-01-10	80656
2015-01-22	66819
2015-03-15	63421
2015-04-14	63393
2015-01-29	70441
2015-03-18	70384
2015-04-29	75940
2015-01-26	44310
2015-01-08	73016
2015-06-06	101773
2015-03-01	70839
2015-01-17	75364
2015-04-20	78076
2015-05-09	98359
2015-01-15	68211
2015-05-29	98200
2015-01-25	59382
2015-02-11	73742
2015-01-14	64725
2015-05-11	70310
2015-03-28	92527
2015-03-05	77446
2015-02-28	89716
2015-04-23	92110
2015-05-05	76195
2015-06-20	101667
2015-02-20	102762
2015-01-30	85565
2015-02-14	102347
2015-04-02	74069
2015-06-25	100073
2015-04-25	106270
2015-05-14	93624
2015-01-03	59844
2015-01-06	53539
2015-03-24	64400
2015-04-13	56655
2015-05-22	85771
2015-02-24	80520
2015-05-13	84937
2015-04-06	53565
2015-06-17	93706
2015-03-02	57460
2015-04-03	75983
2015-05-12	78437
2015-05-02	104978
2015-03-04	71931
2015-03-23	60498
2015-04-17	83855
2015-02-23	72494
2015-03-14	90956
2015-06-04	95023
2015-02-27	90217
2015-06-28	93108
2015-02-13	99897
2015-03-17	62886
2015-04-12	67726
2015-06-03	87206
2015-02-26	84840
2015-06-07	88876
2015-03-26	78552
2015-05-24	68328
2015-01-05	43678
2015-06-21	89285
2015-05-28	95074
2015-02-19	90271
2015-02-02	70193
2015-01-04	41943
2015-04-26	88673
2015-02-06	87568
2015-04-30	84330
2015-01-16	74193
2015-05-31	96947
2015-03-20	95273
2015-02-15	91320
2015-01-19	47025
2015-03-08	61824
2015-06-30	82627
2015-04-21	68712
2015-02-05	82336
2015-02-16	73672
2015-05-01	92329
2015-04-10	81439
2015-01-02	40287
2015-01-21	60383
2015-06-13	101170
2015-02-18	73493
2015-01-13	64765
2015-01-12	58991
2015-03-07	81468
2015-05-26	72820
2015-06-12	103052
2015-03-10	72185
2015-05-15	99756
2015-05-04	65447
2015-03-27	84977
2015-02-12	84751
2015-02-22	67844
2015-05-20	91062
2015-01-28	61626
2015-05-27	88662
2015-03-31	78893
2015-06-14	90856
2015-01-01	58045
2015-02-21	100481
2015-03-25	73953
2015-01-18	74523
2015-03-30	62780
2015-03-29	75648
2015-01-09	72124
2015-06-08	76899
2015-01-27	25954
2015-02-08	64327
2015-05-08	90733
2015-04-05	58357
2015-06-16	89171
2015-06-29	74430
2015-06-02	97592
2015-04-04	69189
2015-05-30	104429
2015-01-07	63375
2015-03-03	75048
2015-05-07	87361
2015-06-18	99842
2015-01-31	94448
2015-05-17	94322
2015-06-10	87403
