Date	Weather_Station	Count
9/23/13	LA GUARDIA AIRPORT NY US	33
6/20/14	LA GUARDIA AIRPORT NY US	33
3/13/15	LA GUARDIA AIRPORT NY US	34
10/24/15	LA GUARDIA AIRPORT NY US	33
11/5/16	LA GUARDIA AIRPORT NY US	33
8/21/13	NY CITY CENTRAL PARK NY US	25
12/17/13	NY CITY CENTRAL PARK NY US	57
5/8/14	NY CITY CENTRAL PARK NY US	52
8/26/14	NY CITY CENTRAL PARK NY US	25
3/11/16	NY CITY CENTRAL PARK NY US	31
12/16/16	NY CITY CENTRAL PARK NY US	25
9/30/15	JFK INTERNATIONAL AIRPORT NY US	41
11/5/16	JFK INTERNATIONAL AIRPORT NY US	33
8/15/15	LA GUARDIA AIRPORT NY US	32
11/21/15	LA GUARDIA AIRPORT NY US	33
6/24/16	LA GUARDIA AIRPORT NY US	33
8/2/16	LA GUARDIA AIRPORT NY US	33
8/20/13	NY CITY CENTRAL PARK NY US	25
1/30/14	NY CITY CENTRAL PARK NY US	25
11/25/14	NY CITY CENTRAL PARK NY US	25
12/21/14	NY CITY CENTRAL PARK NY US	34
1/18/15	NY CITY CENTRAL PARK NY US	60
5/25/15	NY CITY CENTRAL PARK NY US	25
7/7/15	NY CITY CENTRAL PARK NY US	42
2/10/16	NY CITY CENTRAL PARK NY US	45
6/19/16	NY CITY CENTRAL PARK NY US	25
9/21/13	JFK INTERNATIONAL AIRPORT NY US	40
11/9/13	JFK INTERNATIONAL AIRPORT NY US	33
1/30/14	JFK INTERNATIONAL AIRPORT NY US	33
7/1/14	JFK INTERNATIONAL AIRPORT NY US	33
4/30/15	JFK INTERNATIONAL AIRPORT NY US	35
6/17/15	JFK INTERNATIONAL AIRPORT NY US	33
10/17/15	JFK INTERNATIONAL AIRPORT NY US	33
5/22/16	JFK INTERNATIONAL AIRPORT NY US	34
9/18/16	JFK INTERNATIONAL AIRPORT NY US	35
10/17/16	JFK INTERNATIONAL AIRPORT NY US	33
9/21/13	LA GUARDIA AIRPORT NY US	47
5/13/14	LA GUARDIA AIRPORT NY US	35
6/5/14	LA GUARDIA AIRPORT NY US	50
11/19/14	LA GUARDIA AIRPORT NY US	33
12/15/14	LA GUARDIA AIRPORT NY US	33
5/6/15	LA GUARDIA AIRPORT NY US	33
5/17/15	LA GUARDIA AIRPORT NY US	35
6/20/15	LA GUARDIA AIRPORT NY US	50
6/27/15	LA GUARDIA AIRPORT NY US	41
11/1/15	LA GUARDIA AIRPORT NY US	33
7/16/16	LA GUARDIA AIRPORT NY US	33
11/1/13	NY CITY CENTRAL PARK NY US	29
1/31/14	NY CITY CENTRAL PARK NY US	27
4/22/14	NY CITY CENTRAL PARK NY US	25
10/23/14	NY CITY CENTRAL PARK NY US	43
11/3/14	NY CITY CENTRAL PARK NY US	25
10/23/16	NY CITY CENTRAL PARK NY US	28
8/6/13	JFK INTERNATIONAL AIRPORT NY US	33
11/16/13	JFK INTERNATIONAL AIRPORT NY US	33
10/4/14	JFK INTERNATIONAL AIRPORT NY US	39
3/29/16	JFK INTERNATIONAL AIRPORT NY US	33
5/8/16	JFK INTERNATIONAL AIRPORT NY US	49
11/10/13	LA GUARDIA AIRPORT NY US	34
12/4/13	LA GUARDIA AIRPORT NY US	34
3/11/15	LA GUARDIA AIRPORT NY US	35
11/3/15	LA GUARDIA AIRPORT NY US	33
3/19/16	LA GUARDIA AIRPORT NY US	33
5/18/16	LA GUARDIA AIRPORT NY US	33
9/16/16	LA GUARDIA AIRPORT NY US	33
10/21/16	LA GUARDIA AIRPORT NY US	55
12/28/13	NY CITY CENTRAL PARK NY US	25
11/9/14	NY CITY CENTRAL PARK NY US	25
3/20/15	NY CITY CENTRAL PARK NY US	37
12/12/15	NY CITY CENTRAL PARK NY US	25
3/7/16	NY CITY CENTRAL PARK NY US	25
5/8/16	NY CITY CENTRAL PARK NY US	37
4/13/14	JFK INTERNATIONAL AIRPORT NY US	36
7/29/14	JFK INTERNATIONAL AIRPORT NY US	33
9/13/14	JFK INTERNATIONAL AIRPORT NY US	43
12/23/14	JFK INTERNATIONAL AIRPORT NY US	39
1/8/15	JFK INTERNATIONAL AIRPORT NY US	33
3/26/15	JFK INTERNATIONAL AIRPORT NY US	54
1/5/16	JFK INTERNATIONAL AIRPORT NY US	33
1/23/16	JFK INTERNATIONAL AIRPORT NY US	47
4/12/16	JFK INTERNATIONAL AIRPORT NY US	39
7/29/16	JFK INTERNATIONAL AIRPORT NY US	41
9/15/16	JFK INTERNATIONAL AIRPORT NY US	33
12/16/13	LA GUARDIA AIRPORT NY US	33
10/20/14	LA GUARDIA AIRPORT NY US	33
11/17/14	LA GUARDIA AIRPORT NY US	60
4/11/15	LA GUARDIA AIRPORT NY US	33
7/30/15	LA GUARDIA AIRPORT NY US	48
9/15/15	LA GUARDIA AIRPORT NY US	33
10/17/15	LA GUARDIA AIRPORT NY US	33
7/25/16	LA GUARDIA AIRPORT NY US	46
12/19/16	LA GUARDIA AIRPORT NY US	33
9/13/13	NY CITY CENTRAL PARK NY US	25
9/17/13	NY CITY CENTRAL PARK NY US	25
7/21/14	NY CITY CENTRAL PARK NY US	27
8/20/14	NY CITY CENTRAL PARK NY US	25
10/8/14	NY CITY CENTRAL PARK NY US	34
11/16/15	NY CITY CENTRAL PARK NY US	25
12/2/15	NY CITY CENTRAL PARK NY US	40
5/13/16	NY CITY CENTRAL PARK NY US	21
12/17/16	NY CITY CENTRAL PARK NY US	52
12/23/16	NY CITY CENTRAL PARK NY US	25
8/10/13	JFK INTERNATIONAL AIRPORT NY US	33
