Date	station_name	AVG_daily_precip	Count
10/27/13	LA GUARDIA AIRPORT NY US	0	1
1/15/14	LA GUARDIA AIRPORT NY US	0	1
12/7/14	LA GUARDIA AIRPORT NY US	0.03	1
6/24/15	LA GUARDIA AIRPORT NY US	0	1
6/8/16	LA GUARDIA AIRPORT NY US	0.44	1
7/2/16	LA GUARDIA AIRPORT NY US	0	1
8/8/16	LA GUARDIA AIRPORT NY US	0	1
12/10/16	LA GUARDIA AIRPORT NY US	0	1
7/21/14	NY CITY CENTRAL PARK NY US	0	1
9/17/14	NY CITY CENTRAL PARK NY US	0	1
2/13/15	NY CITY CENTRAL PARK NY US	0	1
9/5/15	NY CITY CENTRAL PARK NY US	0	1
5/19/14	JFK INTERNATIONAL AIRPORT NY US	0	1
12/6/14	JFK INTERNATIONAL AIRPORT NY US	1.24	1
12/27/14	JFK INTERNATIONAL AIRPORT NY US	0	1
2/16/15	JFK INTERNATIONAL AIRPORT NY US	0	1
3/26/16	JFK INTERNATIONAL AIRPORT NY US	0	1
4/13/16	JFK INTERNATIONAL AIRPORT NY US	0	1
12/6/16	JFK INTERNATIONAL AIRPORT NY US	0.37	1
9/17/13	LA GUARDIA AIRPORT NY US	0	1
11/12/13	LA GUARDIA AIRPORT NY US	0.03	1
2/22/15	LA GUARDIA AIRPORT NY US	0.11	1
11/15/15	LA GUARDIA AIRPORT NY US	0	1
12/2/15	LA GUARDIA AIRPORT NY US	0.14	1
4/2/16	LA GUARDIA AIRPORT NY US	0.13	1
5/7/16	LA GUARDIA AIRPORT NY US	0	1
8/16/16	LA GUARDIA AIRPORT NY US	0.13	1
12/3/16	LA GUARDIA AIRPORT NY US	0	1
9/23/13	NY CITY CENTRAL PARK NY US	0	1
11/24/14	NY CITY CENTRAL PARK NY US	0.7	1
3/14/15	NY CITY CENTRAL PARK NY US	0.81	1
12/14/15	NY CITY CENTRAL PARK NY US	0.33	1
9/10/16	NY CITY CENTRAL PARK NY US	0	1
12/16/16	NY CITY CENTRAL PARK NY US	0	1
7/19/14	JFK INTERNATIONAL AIRPORT NY US	0	1
1/2/16	JFK INTERNATIONAL AIRPORT NY US	0	1
10/16/16	JFK INTERNATIONAL AIRPORT NY US	0	1
11/10/16	JFK INTERNATIONAL AIRPORT NY US	0	1
7/25/14	LA GUARDIA AIRPORT NY US	0	1
8/2/15	LA GUARDIA AIRPORT NY US	0	1
1/20/16	LA GUARDIA AIRPORT NY US	0	1
2/27/14	NY CITY CENTRAL PARK NY US	0	1
10/28/14	NY CITY CENTRAL PARK NY US	0	1
3/31/15	NY CITY CENTRAL PARK NY US	0.17	1
2/7/16	NY CITY CENTRAL PARK NY US	0	1
8/17/16	NY CITY CENTRAL PARK NY US	0.01	1
1/15/14	JFK INTERNATIONAL AIRPORT NY US	0	1
7/12/14	JFK INTERNATIONAL AIRPORT NY US	0	1
8/30/14	JFK INTERNATIONAL AIRPORT NY US	0	1
9/13/14	JFK INTERNATIONAL AIRPORT NY US	0.29	1
3/31/16	JFK INTERNATIONAL AIRPORT NY US	0	1
5/4/16	JFK INTERNATIONAL AIRPORT NY US	0.07	1
7/20/16	JFK INTERNATIONAL AIRPORT NY US	0	1
10/4/13	LA GUARDIA AIRPORT NY US	0.03	1
10/10/14	LA GUARDIA AIRPORT NY US	0	1
8/18/15	LA GUARDIA AIRPORT NY US	0	1
6/24/16	LA GUARDIA AIRPORT NY US	0	1
1/2/14	NY CITY CENTRAL PARK NY US	0.33	1
