Pickup_date	Count
2015-05-19	432943
2015-03-09	392009
2014-09-26	448361
2014-11-12	444745
2016-03-01	372868
2013-09-09	451162
2015-03-06	446842
2013-09-19	504010
2016-04-25	333122
2015-04-09	460476
2014-08-01	453428
2016-08-31	320951
2016-08-15	306100
2016-07-26	350450
2016-10-03	288557
2015-09-02	368359
2015-12-22	355205
2016-05-03	400483
2014-06-03	462670
2016-01-28	383326
2015-05-10	405427
2013-09-12	503526
2014-02-16	232115
2014-06-11	477219
2014-01-24	509509
2016-11-08	318981
2016-12-19	347163
2015-09-28	323275
2016-07-17	325670
2015-03-12	461719
2015-03-16	374820
2013-11-18	425004
2016-08-23	305068
2015-04-24	474068
2015-04-01	440246
2016-07-03	232343
2014-02-18	155717
2014-08-13	434391
2013-10-05	538444
2015-03-11	428366
2015-10-16	430414
2014-07-04	309652
2014-07-06	313544
2014-11-17	402189
2015-06-15	374858
2013-08-14	457843
2013-09-18	484596
2016-05-26	388607
2016-06-02	392922
2016-02-04	394699
2015-12-31	339939
2015-11-27	275078
2015-11-02	348560
2014-06-13	496516
2015-08-01	389728
2014-09-04	469500
2013-09-20	523123
2013-09-25	461769
2015-04-19	445785
2016-01-13	395090
2013-11-23	553845
2016-09-23	359645
2013-09-14	518170
2016-09-30	371954
2016-01-01	345037
2015-10-30	428785
2016-06-16	398725
2016-04-22	388318
2015-12-29	311730
2015-10-13	379473
2014-07-23	466725
2014-11-01	561404
2015-06-19	436303
2016-01-19	385187
2014-02-24	122411
2016-05-09	349289
2015-04-07	425909
2014-04-29	483147
2013-10-24	513937
2015-09-29	360478
2016-07-19	344310
2015-08-24	317591
2014-06-23	413205
2016-09-15	365148
2013-09-13	523280
2014-10-23	471818
2015-01-20	405581
2014-09-01	319157
2016-12-12	330215
2014-07-14	416403
2016-10-07	366376
2016-02-08	343066
2013-12-14	516303
2013-08-06	448250
2013-12-04	471838
2016-05-23	346991
2016-09-26	320999
2014-04-15	481424
2013-11-03	482847
2014-07-13	410483
2015-12-05	451092
2015-09-21	359066
2014-09-18	464358
2016-12-13	352855
2015-09-06	300961
2014-04-18	514893
2015-04-28	411771
2014-09-13	513501
2016-03-25	399751
2016-02-03	372021
2015-06-22	374849
2016-08-26	325712
2013-11-06	483207
2013-12-17	481726
2014-10-09	477361
2015-11-21	439304
2013-10-22	466786
2014-01-08	473611
2016-08-01	308763
2016-09-09	383524
2014-03-21	516535
2014-06-22	430757
2015-05-16	479580
2014-01-05	388542
2014-07-15	436616
2014-09-25	426440
2016-06-17	388360
2013-08-01	307260
2014-08-06	439508
2013-08-03	226553
2014-12-09	437220
2016-09-27	342012
2014-12-27	323696
2014-06-19	487104
2014-02-28	150393
2014-08-07	446629
2016-10-23	343516
2014-08-21	441620
2016-08-16	333615
2015-12-30	319649
2014-11-09	445908
2014-10-27	411856
2014-03-05	508381
2014-03-09	473451
2014-02-13	204715
2013-08-21	454080
2015-09-20	393050
2016-04-30	420535
2016-07-21	363728
2013-12-09	452108
2014-03-02	462065
2014-06-21	473409
2015-03-21	468108
2013-09-26	484958
2015-02-25	444233
2014-01-06	395445
2014-07-02	439423
2014-05-11	454120
2014-09-03	441040
2014-06-09	440162
2014-11-27	296309
2016-05-27	364951
2015-11-30	347002
2015-09-15	377652
2013-12-18	488390
2015-02-09	381114
2015-02-17	394363
2015-02-03	421128
2014-03-30	462771
2013-08-23	464484
2015-09-04	362215
2016-07-02	266276
2013-08-05	406380
2013-09-02	332266
2015-05-25	301706
2014-11-20	458620
2014-03-19	489567
2015-09-17	410912
2014-10-05	416216
2015-02-04	415624
2013-10-13	462766
2015-06-23	406139
2014-01-03	275470
2015-02-07	485504
2014-03-16	485008
2013-08-08	437140
2015-05-06	444948
2014-09-10	466592
2016-10-20	366184
2016-08-06	324402
2015-02-01	423113
2015-12-06	398882
2016-05-07	433299
2015-10-24	436244
2014-08-10	372124
2016-05-13	397062
2014-03-26	502757
2015-07-21	375036
2014-05-14	466666
2014-05-01	492691
2016-05-31	340824
2016-08-05	343476
2015-08-10	321006
2015-09-10	401271
2016-04-26	371411
2016-02-22	346756
2015-03-22	429016
2013-09-10	483385
2015-04-18	500928
2014-08-03	397765
2015-02-10	424564
2016-10-24	326669
2016-10-27	363272
2013-08-25	400758
2014-11-15	508043
2013-12-16	454088
2014-04-08	467018
2016-11-14	319067
2016-08-20	314436
2013-11-15	514297
2014-12-15	410459
2016-03-22	366751
2015-01-24	460505
2016-09-05	234286
2013-11-29	373808
2015-04-08	443492
2015-05-03	434789
2014-07-22	447126
2016-05-21	435894
2015-09-07	284320
2016-12-15	404341
2013-10-19	549186
2015-11-15	381213
2016-11-24	219830
2015-09-09	396662
2016-05-11	383504
2014-12-25	210250
2013-12-13	543606
2014-10-26	441193
2015-05-18	403641
2014-09-15	421980
2013-10-06	457691
2016-11-25	244016
2015-06-05	451185
2014-11-26	425449
2016-06-22	373447
2016-11-30	337332
2013-10-17	506341
2014-12-07	460972
2013-10-09	484883
2016-06-19	330195
2014-02-03	382513
2014-01-12	450487
2016-05-28	329787
2014-08-29	410496
2016-03-11	425288
2014-06-15	414417
2015-06-09	409188
2015-12-17	418508
2014-11-22	516116
2016-03-27	345577
2013-10-28	432200
2016-12-20	356840
2016-06-08	381578
2016-12-21	350458
2015-06-24	411370
2016-11-19	384371
2014-08-14	439289
2015-07-06	315526
2016-06-15	383083
2015-01-23	472440
2014-10-29	454041
2015-08-21	381052
2016-07-31	305523
2016-08-03	339751
2014-05-07	484552
2016-04-04	374947
2016-06-13	341089
2016-01-11	342651
2014-11-19	458644
2016-12-22	340109
2013-10-18	526590
2014-05-24	413311
2016-03-14	383944
2016-04-16	452929
2013-09-15	462795
2015-07-27	348629
2016-08-12	359868
2014-07-27	403948
2016-04-18	355564
2016-10-17	315861
2015-05-23	383363
2013-09-29	457888
2013-12-22	403373
2015-07-24	403878
2016-09-22	349716
2015-08-02	348541
2014-08-02	440096
2014-08-23	402490
2015-12-11	427829
2014-02-12	386189
2016-08-19	338709
2014-12-02	440620
2014-04-05	543175
2015-04-22	432491
2016-04-11	355531
2015-11-17	384488
2016-09-14	354721
2015-06-27	445861
2015-06-11	439869
2014-09-14	450849
2016-06-29	357125
2015-11-06	419288
2015-03-19	451904
2014-01-11	511172
2014-10-10	489982
2013-08-22	471247
2014-08-18	376662
2016-03-03	428124
2014-02-15	254184
2015-08-17	338247
2014-04-25	526282
2015-11-08	392409
2014-06-05	501694
2015-05-21	446819
2013-10-23	495387
2015-03-13	476936
2016-01-05	343251
2016-01-06	348516
2015-06-01	400833
2014-09-23	401123
2013-08-17	438088
2015-04-11	473730
2014-06-26	486884
2016-06-27	358759
2015-11-28	344527
2014-01-28	468729
2014-09-06	503100
2015-01-11	419629
2016-04-29	416560
2016-08-10	345235
2015-09-16	400429
2015-10-08	407578
2015-10-28	386939
2016-10-30	344633
2014-02-21	19845
2014-09-02	408333
2014-03-18	469975
2015-04-15	427092
2015-08-08	363549
2015-04-27	393526
2014-04-16	495438
2016-05-05	424369
2016-01-20	382105
2015-04-16	452157
2016-04-19	377804
2015-10-11	378262
2013-08-11	195405
2016-10-06	370539
2013-11-05	467510
2013-08-30	456824
2016-09-12	306087
2016-02-11	431206
2014-02-19	215239
2015-11-07	443933
2014-10-12	437673
2016-04-14	414170
2015-10-25	390337
2015-08-19	380357
2016-02-09	367992
2015-09-19	442543
2014-01-18	507033
2014-03-17	433321
2014-01-29	477984
2015-11-25	358723
2016-01-29	414039
2015-07-12	364211
2015-06-26	425774
2014-03-13	549191
2016-01-26	327655
2014-10-28	434802
2015-10-12	328405
2015-07-11	407202
2014-10-15	456636
2013-12-31	467587
2014-06-14	487611
2016-11-15	349883
2014-03-04	499349
2016-08-13	338325
2016-12-03	400785
2015-01-10	515540
2016-02-15	350399
2016-09-18	332291
2014-12-12	497272
2015-01-22	452108
2014-11-16	442084
2015-11-22	376593
2014-09-20	492576
2016-03-20	389644
2016-09-08	374100
2016-07-13	370677
2015-12-01	374390
2014-11-28	347711
2015-10-18	400212
2014-12-20	494266
2016-10-21	376369
2013-12-08	488180
2015-03-15	418778
2013-11-07	508154
2015-12-08	382226
2015-07-29	405923
2015-04-14	411892
2016-05-08	373217
2014-03-08	551574
2015-03-18	452981
2015-01-29	431985
2016-09-01	328731
2014-08-15	444148
2014-08-17	380140
2014-05-28	472420
2016-02-25	413644
2016-12-25	167893
2016-03-16	398150
2016-04-08	440403
2015-04-29	427507
2016-12-31	284166
2016-11-21	328811
2014-10-08	456070
2015-01-08	450920
2015-01-26	230255
2015-06-06	449804
2016-09-25	337791
2015-03-01	385267
2014-01-10	507732
2014-11-13	464077
2014-04-27	473210
2015-08-06	391002
2013-08-13	449946
2015-12-12	439266
2016-03-19	442185
2015-08-31	322442
2014-09-28	433820
2014-11-03	412503
2014-03-29	574530
2016-10-29	390484
2014-06-30	409501
2016-08-30	300429
2015-07-10	401014
2014-05-02	516985
2016-08-07	291897
2016-11-06	336730
2016-04-02	444864
2016-10-26	366660
2013-08-10	445037
2015-01-17	476827
2013-09-05	467390
2016-03-31	394055
2014-12-16	439779
2016-09-02	302022
2013-12-30	405705
2015-12-02	379756
2016-07-10	302693
2016-07-16	350449
2013-11-09	545002
2015-07-18	403824
2016-02-18	410641
2015-12-26	238646
2015-04-20	397259
2014-07-21	399110
2015-10-20	377804
2013-09-16	444748
2015-12-27	268841
2014-05-29	489739
2015-05-09	469017
2013-12-25	245723
2016-12-30	303923
2015-01-15	451186
2016-12-17	390324
2015-12-15	396958
2013-08-12	399261
2016-05-12	400088
2015-07-15	404755
2015-05-29	441299
2013-11-11	417822
2013-11-22	524547
2013-09-08	462607
2015-12-04	431007
2015-01-25	407579
2015-12-23	339355
2015-11-26	242393
2016-07-24	322468
2014-11-21	495376
2015-11-04	384089
2014-05-30	503977
2014-05-31	511991
2013-11-02	550253
2015-02-11	447258
2016-02-28	366255
2014-01-15	466443
2015-12-07	371715
2016-12-02	390235
2014-12-04	458616
2014-01-26	457026
2014-07-10	456003
2014-10-17	492494
2014-03-07	547177
2015-01-14	442656
2016-10-09	333626
2016-01-24	159766
2016-08-27	309307
2014-07-26	448388
2016-08-18	343959
2015-12-10	406176
2016-05-01	382101
2016-11-07	322666
2013-08-02	236748
2014-04-11	506025
2016-12-18	350864
2015-05-11	395280
2013-12-01	398089
2013-12-23	385241
2014-12-21	419889
2016-09-16	371738
2015-02-28	499637
2013-08-27	422802
2014-08-09	420314
2015-03-28	510351
2015-03-05	366435
2016-04-20	395607
2015-10-07	390959
2016-02-12	434350
2013-10-14	403416
2014-10-21	445571
2014-11-30	370177
2013-09-01	384470
2013-10-27	468421
2014-02-22	108
2016-11-04	378670
2015-07-30	390844
2015-04-23	463486
2014-09-05	496714
2016-12-29	290514
2014-07-20	398703
2013-11-20	493407
2014-10-20	416422
2014-12-11	469687
2015-07-13	350162
2015-08-30	332559
2013-08-18	390925
2015-10-14	392801
2016-08-04	353411
2016-03-02	407187
2013-12-26	321895
2015-05-05	432452
2013-12-15	458267
2016-12-27	248803
2015-09-22	367802
2016-06-14	363431
2014-10-14	431529
2014-10-19	461858
2015-02-20	498957
2014-08-08	445799
2014-04-20	429066
2016-12-05	333589
2016-06-05	353145
2015-06-20	413866
2014-07-07	378451
2013-10-31	489417
2013-11-25	445802
2015-12-24	297167
2015-07-01	390084
2015-10-03	412691
2014-03-14	539176
2013-09-06	508640
