Date_delta	Count
-35	2
31	41
-78	1
85	1
133	1
-73	1
-13	6
-95	1
-33	2
-20	3
34	5
115	1
126	1
101	1
-1	136
-21	4
-17	2
-85	1
81	1
28	15
-58	1
-2354	1
26	7
27	2
-10	5
-44	1
-11	10
12	7
336	1
-72	1
223	1
-27	3
-61	3
91	2
222	3
22	3
122	1
-15	3
-67	3
47	2
-92	1
132	2
-51	2
-37	2
-365	1
1	5359076
-50	2
-42	2
-39	3
13	2
16	2
6	7
3	24
-9	5
20	8
-54	1
40	3
-7	39
-46	3
94	1
-77	1
339	1
-5	8
54	2
-71	1
-81	2
-31	2
48	5
5	6
-45	3
-4337	1
-87	1
19	54
-8	8
-373	1
41	2
15	1
-19	2
-22	3
-25	5
37	1
-7305	2
61	1
-15305	1
88	1
-41	3
-64	2
-23	1
-86	2
-47	1
-6	6
17	2
-38	2
9	7
-57	2
87065	6
381	9
35	81
-29	2
229	15
4	22
-53	3
55	1
59	3
8	10
100	1
-60	2
23	2
39	1
380	7
7	22
130	1
-69	1
-1041	1
-4	20
2807	1
-16	2
51	1
69	1
129	1
-42362	1
77	25
10	27
-84	1
518	2
-43	2
-2	50
45	1
38	2
-68	1
82	1
-2624	1
80	2
25	3
24	5
160	1
-2089	1
62	2
125	4
-59	3
-49	4
-34	3
29	4
21	10
-74	1
-42214	1
-12	7
-56	8
-52	2
-62	4
-65	2
-24	2
32	7
90	1
60	1
75	1
-14	20
-79	2
-36	2
151	1
-63	3
56	2
228	6
478	10
105	2
-83	2
-18	3
188	1
11	13
150	1
83	1
68	1
116	1
14	12
-30	2
242	2
42	2
-76	2
119	1
2	86
79	1
131	1
-26	2
-55	4
-40	2
118	2
-88	1
-4365	1
99	1
-32	3
66	2
67	1
-48	3
-28	2
-3	20
-93	1
-80	1
0	502015816
18	7
74	1
134	1
-66	1
187	6
