Pickup_year	Dropoff_Year	Date_delta	Count
2016	2016	12	1
2014	2014	-88	1
2014	2014	5	1
2014	2014	-40	1
2016	2016	-13	2
2016	1996	-7305	2
2016	2016	-26	1
2016	2016	88	1
2015	2015	47	1
2014	2014	-67	2
2016	2016	37	1
2015	2015	-1	38
2014	2014	-30	1
2016	2016	-86	1
2016	2016	31	2
2016	2016	48	1
2013	2013	7	4
2016	2016	-59	1
2014	2014	-52	1
2016	2016	-36	1
2014	2014	-11	2
2015	2015	25	2
2016	2016	125	4
2016	2016	18	4
2014	2014	-85	1
2016	2016	-6	1
2015	2016	478	10
2014	2014	-24	1
2015	2015	-8	1
2016	2016	8	2
2016	2016	39	1
2014	2014	-20	1
2016	2016	22	1
2014	2014	-44	1
2016	2016	-39	2
2015	2016	1	2362
2016	2016	-21	1
2014	2014	-58	1
2015	2015	222	3
2015	2015	228	6
2013	2013	0	69409904
2016	2016	-12	2
2014	2014	-23	1
2014	2014	-1	81
2015	2253	87065	6
2015	2015	23	1
2016	2016	83	1
2016	2016	-81	1
2015	2022	2807	1
2016	2016	-41	1
2016	2016	62	2
2014	2014	-8	5
2014	2014	-76	1
2016	2016	134	1
2016	2016	-15	1
2016	2016	126	1
2016	2016	129	1
2014	2014	-71	1
2014	2014	-55	2
2016	2016	38	2
2014	2014	-49	2
2016	2016	-62	2
2016	2016	-11	8
2015	2015	91	1
2016	2016	4	5
2016	2016	-47	1
2013	2013	9	1
2016	2016	-46	2
2016	2016	28	3
2016	2016	13	2
2016	2016	74	1
2014	2014	-73	1
2015	2015	188	1
2016	2016	-17	1
2016	2015	-373	1
2016	2016	40	3
2014	2014	-42	1
2016	2016	99	1
2016	2016	-55	2
2015	2015	12	4
2016	2016	81	1
2015	2015	160	1
2015	2016	381	9
2015	2015	-79	1
2014	2014	6	5
2014	2014	-57	1
2014	2014	-13	4
2016	2004	-4337	1
2015	2015	11	1
2016	2004	-4365	1
2015	2016	380	7
2016	2016	-24	1
2016	2016	15	1
2015	2015	17	1
2016	2016	20	1
2016	2016	2	12
2016	2016	14	1
2015	1900	-42362	1
2015	2015	-3	3
2016	2009	-2354	1
2014	2014	1	1571365
2015	2015	0	144494864
2015	2015	24	4
2014	2014	3	12
2016	2015	-365	1
2015	1900	-42214	1
2016	2016	45	1
2014	2014	-56	7
2014	2014	-62	2
2016	2016	11	2
2016	2016	105	2
2015	2016	518	2
