Pickup_dayofweek	pickup_hour	Count
Thursday	7	3447674
Sunday	1	3984989
Sunday	19	3512978
Monday	8	3531228
Wednesday	6	1944745
Wednesday	7	3433063
Monday	5	751509
Sunday	2	3234586
Wednesday	9	3829094
Thursday	15	3467671
Monday	15	3404777
Wednesday	0	2076485
Sunday	5	768957
Saturday	23	4634782
Saturday	6	891132
Sunday	8	1474825
Thursday	8	4025874
Saturday	10	3211892
Tuesday	11	3357381
Thursday	20	4703286
Saturday	1	3689550
Friday	18	4500974
Monday	20	4010104
Friday	6	1872263
Monday	17	3642891
Wednesday	8	4038732
Wednesday	16	2886457
Friday	11	3435787
Tuesday	4	418384
Sunday	15	3510348
Thursday	12	3610422
Friday	15	3417267
Monday	9	3422118
Friday	22	4638357
Tuesday	14	3650799
Friday	5	821530
Sunday	7	999204
Saturday	9	2686741
Wednesday	21	4643954
Saturday	3	2278454
Tuesday	9	3777611
Friday	0	3154613
Thursday	19	4769742
Tuesday	13	3443482
Saturday	17	3798527
Saturday	4	1474647
Tuesday	7	3371287
Thursday	17	3565935
Friday	16	2878186
Monday	1	965410
Monday	4	484736
Saturday	19	4602241
Monday	7	2993470
Tuesday	6	1934772
Saturday	0	4280269
Sunday	12	3694323
Thursday	0	2415957
Monday	3	447826
Wednesday	15	3468421
Wednesday	20	4623268
Wednesday	10	3467262
Sunday	6	767880
Monday	22	3425260
Saturday	11	3610054
Thursday	2	935594
Saturday	13	3921977
Tuesday	19	4616360
Wednesday	13	3546762
Sunday	16	3289749
Friday	4	752409
Monday	18	4327674
Thursday	13	3569603
Friday	2	1390339
Wednesday	3	527874
Sunday	11	3421195
Friday	9	3686565
Thursday	22	4541844
Friday	3	937365
Monday	16	3044730
Thursday	16	2839698
Monday	13	3229630
Tuesday	16	2927370
Tuesday	2	616114
Tuesday	12	3472086
Wednesday	18	4488986
Thursday	1	1465307
Monday	19	4289949
Friday	1	2094102
Wednesday	1	1243896
Friday	19	4846304
Friday	21	4483603
Friday	8	3807116
Tuesday	3	409139
Sunday	23	2306160
Thursday	4	555727
Sunday	22	2841905
Monday	21	3855012
Friday	13	3481337
Monday	12	3231972
Saturday	20	4143103
Tuesday	10	3393187
Sunday	0	4352622
Wednesday	2	783196
Friday	17	3622764
Sunday	4	1640675
Sunday	17	3517110
Sunday	14	3685504
Tuesday	22	4069960
Sunday	9	2174275
Monday	2	634906
Friday	12	3534154
Friday	14	3710834
Tuesday	18	4503846
Wednesday	14	3680615
Tuesday	20	4461333
Tuesday	21	4455119
Saturday	16	3361609
Thursday	23	4076043
Thursday	21	4729279
Wednesday	23	3558879
Monday	10	3098008
Saturday	12	3865099
Tuesday	0	1682264
Tuesday	17	3631000
Wednesday	17	3613240
Monday	0	1594493
Wednesday	12	3599097
Friday	20	4554714
Sunday	3	2541895
Saturday	5	746476
Thursday	11	3473438
Sunday	20	3209486
Saturday	22	4452951
Thursday	6	1977102
Thursday	18	4463841
Wednesday	19	4763145
Thursday	14	3741772
Monday	23	2570448
Friday	23	4588886
Tuesday	1	991783
Wednesday	4	493075
Tuesday	23	3160254
Friday	7	3194494
Thursday	5	770672
Tuesday	5	718918
Friday	10	3395605
Saturday	15	3788621
Monday	6	1817908
Sunday	18	3742371
Saturday	8	1918781
Monday	11	3096378
Thursday	3	618750
Saturday	14	3802938
Wednesday	22	4365296
Saturday	7	1282854
Sunday	10	2947863
Monday	14	3448613
Thursday	10	3479672
Wednesday	5	735843
Thursday	9	3824429
Tuesday	15	3470933
Saturday	18	4399214
Wednesday	11	3474016
Saturday	2	3046585
Sunday	21	3076863
Saturday	21	4110658
Tuesday	8	3981252
Sunday	13	3693179
