Pickup_dayofweek	pickup_date	pickup_hour	Count
Tuesday	2013-10-08	7	22655
Wednesday	2013-10-16	9	24841
Friday	2014-03-14	13	23834
Sunday	2014-03-16	7	8056
Sunday	2014-03-16	2	24605
Friday	2014-06-06	9	24054
Saturday	2014-06-07	4	9619
Friday	2014-06-06	20	28929
Monday	2014-06-09	14	22285
Monday	2014-06-02	4	2994
Monday	2014-04-14	1	5778
Monday	2016-05-02	23	14930
Saturday	2014-01-11	1	24570
Sunday	2014-01-12	19	22097
Wednesday	2014-01-15	9	26099
Wednesday	2014-01-15	12	22543
Wednesday	2015-03-25	15	22096
Friday	2015-12-25	0	10662
Tuesday	2014-04-22	15	23279
Wednesday	2014-04-23	19	34606
Saturday	2014-03-29	3	16239
Wednesday	2014-10-08	2	4255
Friday	2014-10-17	16	17160
Thursday	2015-05-28	11	20525
Friday	2015-05-01	13	19958
Thursday	2015-05-14	6	12567
Thursday	2015-05-28	14	21609
Wednesday	2015-05-20	2	5262
Wednesday	2015-05-20	11	20719
Sunday	2015-08-02	10	14013
Saturday	2014-05-24	0	25544
Tuesday	2015-04-14	23	17874
Thursday	2015-04-23	15	21036
Sunday	2015-04-05	11	19202
Sunday	2015-04-05	2	16190
Thursday	2015-04-16	12	21333
Monday	2015-04-20	2	3302
Saturday	2013-11-30	17	23469
Tuesday	2013-11-26	7	22169
Saturday	2013-11-30	5	3737
Sunday	2013-11-17	3	20153
Thursday	2015-01-01	1	31707
Saturday	2015-01-31	17	25794
Saturday	2015-01-17	23	28063
Monday	2014-02-24	17	6731
Tuesday	2016-11-15	17	18267
Sunday	2014-12-07	22	18638
Tuesday	2014-12-09	17	20529
Monday	2014-11-03	19	27394
Thursday	2014-11-06	5	5033
Tuesday	2013-12-24	11	19859
Thursday	2013-08-29	6	10347
Saturday	2013-08-31	21	22075
Wednesday	2013-08-28	6	9983
Friday	2016-02-19	11	17941
Sunday	2015-12-20	6	4213
Thursday	2014-11-13	16	15785
Tuesday	2015-09-15	9	19558
Saturday	2014-01-04	8	8464
Saturday	2014-09-27	22	28706
Saturday	2016-08-13	17	18196
Saturday	2014-05-31	15	25009
Wednesday	2014-05-28	14	23403
Thursday	2014-05-29	4	3225
Sunday	2014-05-04	22	20509
Sunday	2014-05-11	20	22024
Friday	2014-05-16	14	24586
Sunday	2015-02-15	20	22641
Saturday	2015-02-14	19	29082
Tuesday	2015-02-17	6	8296
Saturday	2014-07-05	19	18919
Monday	2014-07-21	22	22963
Saturday	2014-09-13	9	17237
Thursday	2016-03-31	13	18623
Tuesday	2016-03-29	16	16375
Wednesday	2014-07-16	10	21590
Monday	2016-04-04	6	10717
Saturday	2016-06-11	10	16233
Sunday	2014-08-03	21	19256
Friday	2014-08-08	0	20556
Monday	2014-04-28	13	20644
Saturday	2014-07-19	14	19771
Thursday	2016-03-03	3	2385
Thursday	2014-12-04	7	22601
Monday	2016-04-04	15	19971
Thursday	2016-10-27	7	18459
Sunday	2016-10-30	10	14973
Monday	2014-08-18	23	15166
Thursday	2016-09-08	21	22570
Thursday	2013-09-19	23	29099
Wednesday	2016-01-20	21	24202
Wednesday	2014-11-19	19	29311
Wednesday	2015-07-08	23	19369
Saturday	2014-08-23	11	17056
Sunday	2014-08-24	1	21582
Monday	2016-08-29	2	3003
Sunday	2014-02-09	21	18181
Sunday	2015-06-07	16	18561
Tuesday	2015-07-07	9	20007
Tuesday	2015-10-06	13	17392
Monday	2015-12-14	11	16555
Wednesday	2014-12-17	11	21743
Thursday	2014-11-27	12	15535
Sunday	2015-07-19	8	8430
Friday	2015-07-17	4	4429
Tuesday	2015-07-28	23	18231
Thursday	2016-07-14	23	19915
Monday	2016-09-12	17	17770
Saturday	2015-09-26	18	23138
Sunday	2015-09-27	11	19834
Sunday	2013-12-29	8	6848
Tuesday	2013-12-17	4	3245
Tuesday	2014-05-13	23	24152
Saturday	2015-07-04	22	14500
Saturday	2013-12-21	0	29778
Tuesday	2013-08-06	20	27491
Thursday	2013-11-07	14	24074
Saturday	2016-04-09	15	23660
Saturday	2016-04-09	18	24777
Tuesday	2016-07-05	15	15268
Monday	2016-11-28	4	1832
Tuesday	2014-10-28	20	28161
Friday	2014-10-03	3	5742
Saturday	2015-06-27	2	18052
Tuesday	2015-06-16	0	9932
Sunday	2016-09-18	20	15360
Friday	2016-04-01	12	18998
Sunday	2016-05-08	8	9066
Sunday	2015-12-27	9	7846
Tuesday	2016-07-26	19	22189
Wednesday	2016-07-27	19	23230
Wednesday	2016-11-09	23	13801
Monday	2016-03-07	13	16843
Thursday	2015-10-29	14	20176
Monday	2016-03-28	4	2311
Thursday	2016-06-30	3	2933
Sunday	2016-10-30	17	16090
Monday	2016-10-31	8	18845
Wednesday	2015-11-04	17	19748
Monday	2016-10-10	8	14232
Tuesday	2015-08-25	0	8101
Saturday	2016-10-01	19	20973
Friday	2015-08-14	16	13969
Saturday	2015-08-15	22	20431
Tuesday	2016-08-02	10	15627
Wednesday	2016-08-24	18	20078
Saturday	2016-03-05	12	23189
Saturday	2016-10-08	4	7076
Monday	2016-12-26	14	14914
Tuesday	2016-03-01	12	17221
Sunday	2015-08-23	21	15229
Saturday	2016-02-06	6	4458
Saturday	2016-02-06	13	21606
Friday	2016-11-11	12	16072
Wednesday	2016-11-02	0	7987
Wednesday	2016-09-28	20	24291
Monday	2015-11-23	23	13399
Sunday	2015-10-11	0	25017
Saturday	2013-12-21	5	5905
Thursday	2013-12-26	22	19025
Friday	2013-12-27	4	3594
Monday	2014-01-20	2	7168
Thursday	2015-05-21	13	21576
Wednesday	2015-05-27	14	21077
Sunday	2015-05-31	3	14386
Sunday	2013-11-03	13	23034
Friday	2013-09-13	23	31319
Thursday	2013-09-12	15	20859
Sunday	2014-11-30	12	20652
Wednesday	2014-11-12	14	22073
Monday	2014-04-14	0	10250
Wednesday	2015-04-22	9	22122
Thursday	2015-04-23	1	8138
Friday	2015-04-17	20	28260
Monday	2015-04-20	1	5082
Saturday	2016-10-01	7	7155
Saturday	2016-06-18	3	11010
Sunday	2013-08-25	7	5756
Saturday	2013-08-24	7	7419
