Pickup_dayofweek	pickup_year	pickup_hour	Count
Monday	2014	11	974113
Saturday	2014	19	1461164
Friday	2016	8	1015903
Friday	2016	14	1008476
Wednesday	2013	7	451310
Thursday	2015	20	1364204
Friday	2015	6	545583
Wednesday	2013	10	465322
Monday	2013	9	491571
Monday	2015	19	1219504
Friday	2013	8	524527
Tuesday	2015	18	1287003
Friday	2013	20	652975
Sunday	2013	21	417135
Saturday	2015	19	1340147
Sunday	2015	10	860255
Thursday	2015	8	1162190
Thursday	2016	1	342718
Saturday	2014	21	1324830
Monday	2014	5	235211
Wednesday	2016	13	926634
Sunday	2013	14	495979
Tuesday	2015	11	956475
Friday	2013	7	434361
Wednesday	2014	17	1143542
Sunday	2014	10	926334
Saturday	2015	22	1285360
Thursday	2013	17	472544
Tuesday	2013	18	630359
Saturday	2013	21	586697
Thursday	2016	10	894904
Saturday	2015	9	790660
Monday	2014	8	1110476
Sunday	2016	13	947546
Wednesday	2015	5	214070
Thursday	2013	6	251842
Monday	2016	17	979318
Thursday	2014	10	1098641
Friday	2014	6	568177
Saturday	2014	22	1429982
Wednesday	2016	0	494593
Monday	2016	8	902762
Monday	2016	12	822713
Thursday	2016	2	215496
Thursday	2013	8	549703
Sunday	2014	4	541002
Saturday	2014	9	829930
Wednesday	2015	17	1031163
Thursday	2014	19	1492976
Friday	2014	16	847229
Sunday	2014	5	255283
Saturday	2015	5	212129
Sunday	2016	21	778414
Saturday	2016	9	712032
Saturday	2015	6	258250
Monday	2013	23	370081
Sunday	2014	20	1034092
Tuesday	2015	13	982090
Monday	2015	15	972753
Wednesday	2014	8	1278732
Tuesday	2015	15	989119
Sunday	2015	13	1078207
Monday	2013	2	93962
Monday	2014	10	979952
Wednesday	2013	22	580859
Thursday	2014	14	1151625
Monday	2014	1	312777
Tuesday	2016	17	976774
Wednesday	2013	6	241638
Sunday	2015	3	724867
Saturday	2016	20	1015975
Thursday	2014	9	1202812
Sunday	2016	23	570300
Sunday	2015	0	1247298
Thursday	2015	1	444718
Tuesday	2015	0	468868
Saturday	2014	23	1507299
Wednesday	2013	20	617200
Sunday	2015	23	667636
Friday	2013	19	672384
Sunday	2013	7	130213
Sunday	2016	2	771794
Sunday	2016	6	194776
Saturday	2015	23	1331495
Wednesday	2015	11	996352
Monday	2014	15	1054039
Tuesday	2013	7	457942
Saturday	2015	0	1214534
Friday	2015	9	1050007
Friday	2016	10	883581
Friday	2013	10	481050
Monday	2014	22	1110189
Monday	2013	3	67227
Tuesday	2015	19	1315012
Thursday	2013	21	643403
Wednesday	2013	16	361593
Friday	2013	14	508811
Tuesday	2014	16	875008
Friday	2016	18	1211843
Wednesday	2015	12	1025386
Tuesday	2016	15	924345
Saturday	2013	11	484874
Saturday	2015	20	1191444
Tuesday	2013	15	485003
Wednesday	2013	11	463983
Sunday	2014	23	756336
Tuesday	2016	1	238246
Wednesday	2016	2	180049
Wednesday	2016	11	892011
Friday	2013	13	482568
Monday	2014	3	144031
Friday	2014	19	1516540
Sunday	2016	10	770230
Monday	2014	16	931193
Monday	2014	23	839012
Thursday	2014	5	235139
Wednesday	2013	19	634422
Saturday	2013	2	454203
Friday	2013	23	661783
Sunday	2014	15	1099548
Saturday	2014	16	1016300
Tuesday	2014	5	221640
Thursday	2016	21	1237765
Thursday	2014	0	774012
Sunday	2016	18	971510
Thursday	2016	7	910993
Friday	2015	19	1389532
Saturday	2015	3	641630
Monday	2014	2	207683
Saturday	2013	15	511852
Wednesday	2013	12	489186
Monday	2013	1	140748
Saturday	2013	8	254076
Thursday	2013	0	352927
Tuesday	2015	5	206217
Tuesday	2015	4	116023
Tuesday	2014	6	602876
Sunday	2015	17	1022170
Friday	2013	11	480280
Tuesday	2013	19	665132
Tuesday	2013	11	474670
Sunday	2013	19	487537
Sunday	2013	20	446904
Saturday	2014	7	393865
Sunday	2013	15	468816
Sunday	2013	16	418304
Saturday	2015	18	1285329
Saturday	2016	10	844045
Friday	2016	6	515944
Tuesday	2016	6	523399
Saturday	2015	21	1186938
Saturday	2014	12	1201904
Thursday	2016	18	1192355
Friday	2016	5	231489
Sunday	2015	19	1009124
Monday	2013	21	544978
Thursday	2014	21	1466459
Tuesday	2014	4	134761
Thursday	2015	4	171565
Sunday	2016	14	951318
Saturday	2014	15	1174409
Wednesday	2013	2	111309
Friday	2015	8	1083326
Monday	2013	4	70073
Tuesday	2015	7	959001
Sunday	2015	15	1024911
Thursday	2015	16	833339
Wednesday	2014	22	1416496
Tuesday	2016	14	954783
Thursday	2013	4	79198
Tuesday	2013	4	61314
Tuesday	2016	18	1180430
Friday	2016	9	962979
Wednesday	2014	21	1492820
Sunday	2014	21	991875
Saturday	2015	17	1116107
Monday	2015	21	1100518
Sunday	2015	21	889439
Tuesday	2016	2	147590
Wednesday	2016	16	796334
Thursday	2016	4	134321
Tuesday	2013	16	395862
Wednesday	2014	7	1086932
Friday	2015	0	890549
Sunday	2015	7	292839
Sunday	2013	13	501882
Saturday	2016	2	747378
Sunday	2016	17	931290
Sunday	2014	9	682179
Monday	2014	4	153809
Friday	2013	16	372754
Sunday	2013	12	502122
Saturday	2015	10	941919
Saturday	2014	17	1166309
Monday	2013	14	482821
Friday	2016	2	359940
Tuesday	2013	0	248665
Thursday	2016	15	934909
Sunday	2013	11	460715
Thursday	2016	0	575249
Thursday	2016	13	939953
Tuesday	2016	10	869567
Wednesday	2013	15	456265
Saturday	2014	3	736483
Friday	2014	10	1055952
Sunday	2015	20	921538
Thursday	2016	22	1178853
Saturday	2013	9	354119
Thursday	2013	7	460742
Friday	2015	11	988393
Monday	2015	18	1225122
Tuesday	2016	7	885885
Friday	2014	17	1084572
Wednesday	2016	20	1189696
Wednesday	2014	3	186801
Monday	2016	10	780962
Wednesday	2013	17	463786
Monday	2013	20	578091
Friday	2014	5	245795
Thursday	2013	5	100659
Wednesday	2013	14	489048
Wednesday	2015	7	997395
Saturday	2015	13	1146763
Monday	2015	20	1131964
Tuesday	2013	10	478052
Thursday	2013	23	582115
Tuesday	2013	6	251158
Sunday	2014	16	1014199
Tuesday	2015	16	843737
Tuesday	2013	13	484421
Thursday	2013	9	536741
Saturday	2013	4	219023
Friday	2016	20	1154027
Monday	2016	13	836337
Monday	2016	18	1127629
Thursday	2016	20	1226337
Thursday	2013	19	658256
Sunday	2014	11	1078274
Wednesday	2014	20	1482402
Tuesday	2014	10	1081297
Monday	2013	15	475197
Saturday	2013	14	514307
Thursday	2014	23	1284649
Friday	2014	9	1157432
Tuesday	2014	3	133720
Wednesday	2016	22	1106657
Monday	2013	11	441014
Monday	2016	11	785617
Thursday	2016	14	1003164
Saturday	2013	18	594983
Tuesday	2013	5	95585
Thursday	2014	20	1462026
Friday	2014	13	1066383
Saturday	2013	19	630357
Friday	2016	16	824077
Friday	2014	21	1421375
Tuesday	2014	23	1006805
Thursday	2013	2	140211
Wednesday	2015	18	1287278
Friday	2013	17	481316
Friday	2014	3	290821
Saturday	2015	12	1130950
Sunday	2016	4	397291
Sunday	2014	2	1062669
Wednesday	2015	19	1371122
Wednesday	2013	21	613805
Monday	2015	6	530268
Friday	2013	5	107991
Wednesday	2013	8	536056
Monday	2015	9	980951
Tuesday	2013	20	647406
Wednesday	2013	5	90870
Thursday	2015	18	1295786
Saturday	2016	6	239943
Tuesday	2016	4	106286
Thursday	2013	16	365152
Sunday	2013	18	500216
Tuesday	2015	22	1171429
Wednesday	2014	9	1230514
Wednesday	2015	6	571418
Saturday	2016	19	1170573
Thursday	2014	2	291097
Saturday	2015	4	413579
Wednesday	2015	16	829509
Thursday	2015	5	229775
Thursday	2016	3	141983
Sunday	2016	19	890451
Monday	2014	13	1009045
Sunday	2014	7	314380
Wednesday	2016	5	196993
Wednesday	2016	14	966690
Thursday	2015	13	1038760
Tuesday	2013	2	94288
Friday	2015	20	1299459
Sunday	2013	23	311888
Tuesday	2013	1	151094
Monday	2016	23	638754
Wednesday	2015	8	1171406
Thursday	2014	1	462486
Friday	2014	7	982387
Wednesday	2013	23	486871
Thursday	2014	12	1124075
Monday	2016	0	390868
Monday	2016	1	238746
Saturday	2014	2	984253
Saturday	2014	4	478673
Wednesday	2016	8	1052538
Thursday	2016	11	897747
Wednesday	2015	14	1055673
Monday	2015	0	453384
Wednesday	2013	9	514646
Wednesday	2013	3	73841
Saturday	2013	6	118083
Monday	2014	6	569222
Tuesday	2014	1	326005
Friday	2015	5	236255
Friday	2013	22	661753
Wednesday	2016	23	880414
Saturday	2016	14	990403
Friday	2013	3	142228
Thursday	2014	16	847371
Monday	2014	12	1014938
Monday	2015	3	126324
Sunday	2013	1	582156
Saturday	2013	12	517731
Friday	2014	4	229114
Sunday	2014	18	1193978
Monday	2015	5	216167
Sunday	2015	6	222918
Monday	2016	4	125776
Wednesday	2016	6	520216
Thursday	2015	14	1085326
Tuesday	2015	6	557339
Saturday	2016	11	939323
Saturday	2016	17	1016562
Monday	2016	19	1084065
Friday	2014	11	1065310
Sunday	2014	8	460375
Monday	2013	8	498824
Tuesday	2013	23	466565
Tuesday	2014	9	1209817
Friday	2014	18	1384787
Saturday	2014	8	587025
Friday	2014	22	1458830
Wednesday	2013	13	475545
Monday	2016	16	835331
Saturday	2016	1	912115
Wednesday	2014	16	899021
Monday	2014	19	1369987
Sunday	2015	11	995228
Tuesday	2013	17	501097
Monday	2016	3	110244
Saturday	2016	4	363372
Wednesday	2014	5	233910
Tuesday	2015	17	1044191
Thursday	2013	3	91173
Wednesday	2014	13	1131838
Friday	2014	2	433534
Tuesday	2016	16	812763
Thursday	2015	3	195641
Saturday	2013	23	658305
Wednesday	2014	15	1096655
Tuesday	2013	21	637640
Friday	2013	0	460843
Monday	2016	14	904904
Sunday	2014	22	926884
Sunday	2014	17	1104565
Friday	2015	2	385322
Friday	2016	12	944073
Monday	2013	19	616393
Tuesday	2013	9	526079
Monday	2013	6	243049
Thursday	2016	8	1057251
Monday	2013	22	487588
Friday	2015	7	921855
Sunday	2014	19	1125866
Saturday	2014	1	1189502
Saturday	2013	17	499549
Wednesday	2015	0	598833
Friday	2016	1	537342
Saturday	2016	13	1029300
Monday	2015	17	1031154
Friday	2013	21	640662
Saturday	2015	7	375279
Wednesday	2016	10	882742
Thursday	2016	16	793836
Saturday	2014	6	274856
Thursday	2016	17	973854
Thursday	2015	23	1171019
Monday	2013	10	442988
Sunday	2016	20	806952
Sunday	2016	5	183494
Thursday	2013	20	650719
Wednesday	2013	4	66402
Friday	2013	6	242559
Thursday	2015	9	1097852
Thursday	2013	10	480508
Saturday	2016	5	183766
Monday	2015	8	1019166
Sunday	2015	22	821739
Wednesday	2016	7	897426
Monday	2016	22	858515
Tuesday	2014	17	1108938
Sunday	2013	0	620954
Tuesday	2016	12	893718
Wednesday	2013	0	295268
Saturday	2015	2	860751
Saturday	2016	3	560829
Tuesday	2015	8	1129041
Monday	2014	9	1087533
Sunday	2015	4	465276
Monday	2013	7	419150
Wednesday	2016	9	978153
Friday	2014	20	1448253
Sunday	2016	15	917073
Sunday	2016	7	261772
Tuesday	2016	3	99157
Saturday	2016	15	995283
Monday	2015	12	932263
Friday	2014	1	657873
Wednesday	2014	0	687791
Wednesday	2015	21	1340177
Friday	2015	15	976967
Wednesday	2016	19	1218908
Wednesday	2013	1	177109
Sunday	2016	8	387203
Saturday	2014	14	1188063
Saturday	2016	22	1104746
Friday	2015	18	1295178
Sunday	2013	5	112066
Thursday	2016	19	1240949
Sunday	2014	12	1165833
Saturday	2016	12	1014514
Monday	2016	2	154192
Tuesday	2016	5	195476
Friday	2016	22	1183582
Friday	2013	9	516147
Wednesday	2014	19	1538693
Thursday	2016	6	532247
Tuesday	2013	12	491670
Tuesday	2015	14	1040791
Sunday	2013	10	391044
Friday	2016	11	901804
Thursday	2013	11	473763
Tuesday	2014	8	1268529
Wednesday	2014	2	272585
Thursday	2014	4	170643
Tuesday	2015	23	913004
Tuesday	2014	7	1068459
Friday	2013	2	211543
Thursday	2013	14	501657
Saturday	2013	10	428393
Monday	2013	5	103067
Saturday	2016	7	344731
Friday	2014	14	1138816
Tuesday	2014	18	1406054
Thursday	2014	11	1089854
Thursday	2015	12	1051031
Friday	2015	12	1013401
Monday	2015	10	894106
Friday	2014	0	994323
Wednesday	2016	1	291895
Wednesday	2016	12	932724
Friday	2016	3	245318
Friday	2015	3	258998
Sunday	2015	12	1073883
Sunday	2015	2	923867
Sunday	2014	0	1432157
Saturday	2013	16	428792
Wednesday	2014	18	1431982
Monday	2016	21	974137
Sunday	2013	6	104427
Sunday	2015	5	218114
Wednesday	2015	20	1333970
Saturday	2014	10	997535
Monday	2014	18	1369865
Tuesday	2015	2	173155
Thursday	2013	12	494639
Tuesday	2014	20	1391481
Thursday	2016	12	940677
Monday	2016	7	768529
Monday	2015	14	990425
Monday	2015	23	722601
Saturday	2016	23	1137683
Tuesday	2013	14	510777
Sunday	2013	8	191758
Thursday	2014	17	1081341
Tuesday	2014	0	548978
Wednesday	2014	1	422439
Thursday	2014	8	1256730
Thursday	2016	9	987024
Sunday	2016	9	571894
Thursday	2014	15	1059736
Friday	2016	0	808898
Wednesday	2014	4	169472
Monday	2016	9	862063
Monday	2016	15	902788
Tuesday	2016	8	1039993
Sunday	2013	9	283180
Thursday	2014	22	1415344
Tuesday	2015	10	964271
Friday	2013	18	609166
Tuesday	2014	13	1082914
Saturday	2016	21	1012193
Sunday	2013	3	369227
Friday	2014	8	1183360
Wednesday	2015	13	1012745
Saturday	2015	1	1046162
Tuesday	2016	0	415753
Tuesday	2014	19	1460564
Tuesday	2014	22	1277533
Wednesday	2014	12	1151801
Wednesday	2014	10	1119066
Thursday	2015	19	1377561
Friday	2015	17	1044563
Tuesday	2015	1	276438
Saturday	2016	8	511571
Monday	2016	20	1017225
Saturday	2013	20	592751
Sunday	2014	13	1165544
Friday	2016	13	937254
Wednesday	2016	4	119368
Monday	2015	4	135078
Tuesday	2014	11	1062655
Saturday	2015	15	1107077
Friday	2016	23	1159475
Monday	2016	5	197064
Thursday	2013	13	490722
Wednesday	2015	22	1261284
Sunday	2015	1	1146111
Thursday	2016	23	1038260
Friday	2014	23	1452582
Monday	2014	14	1070463
Monday	2013	17	498511
Tuesday	2014	14	1144448
Wednesday	2015	9	1105781
Tuesday	2015	21	1286354
Sunday	2013	2	476256
Monday	2013	12	462058
Friday	2014	15	1035592
Thursday	2015	17	1038196
Thursday	2015	21	1381652
Monday	2015	2	179069
Friday	2016	19	1267848
Monday	2015	22	968968
Monday	2013	0	229930
Tuesday	2014	2	201081
Thursday	2014	6	615134
Friday	2015	13	995132
Saturday	2014	20	1342933
Saturday	2013	7	168979
Monday	2013	13	453370
Friday	2013	1	311449
Sunday	2016	16	889642
Thursday	2014	3	189953
Sunday	2013	17	459085
Friday	2013	12	491081
Tuesday	2016	23	773880
Wednesday	2015	1	352453
Saturday	2013	0	622489
Thursday	2015	10	1005619
Sunday	2016	22	711084
Tuesday	2016	22	1029519
Wednesday	2015	3	146706
Friday	2015	14	1054731
Tuesday	2014	12	1100021
Tuesday	2016	20	1145287
Friday	2015	23	1315046
Monday	2014	0	520311
Friday	2016	17	1012313
Friday	2013	4	109286
Wednesday	2014	6	611473
Sunday	2015	16	967604
Thursday	2015	15	1012251
Thursday	2015	6	577879
Saturday	2014	13	1216510
Tuesday	2014	21	1388925
Tuesday	2013	3	62436
Wednesday	2015	2	219253
Saturday	2014	5	242744
Saturday	2013	13	529404
Monday	2016	6	475369
Sunday	2015	14	1072649
Saturday	2013	22	632863
Thursday	2013	1	215385
Sunday	2016	0	1052213
Sunday	2016	3	610162
Wednesday	2016	21	1197152
Monday	2015	7	863878
Monday	2014	17	1133908
Wednesday	2014	14	1169204
Tuesday	2015	3	113826
Friday	2016	7	855891
Saturday	2013	3	339512
Thursday	2015	7	999762
Wednesday	2015	4	137833
Monday	2014	21	1235379
Wednesday	2014	11	1121670
Sunday	2013	4	237106
Monday	2013	16	404490
Sunday	2014	6	245759
Sunday	2014	14	1165558
Wednesday	2013	18	589030
Wednesday	2016	3	120526
Wednesday	2015	15	996853
Wednesday	2015	23	1019264
Thursday	2013	18	602580
Friday	2016	21	1133574
Sunday	2016	12	952485
Sunday	2014	1	1307230
Thursday	2013	22	630837
Monday	2014	20	1282824
Friday	2014	12	1085599
Thursday	2013	15	460775
Friday	2015	10	975022
Monday	2015	1	273139
Monday	2015	16	873716
Thursday	2015	22	1316810
Wednesday	2016	18	1180696
Tuesday	2016	21	1142200
Friday	2015	22	1334192
Sunday	2014	3	837639
Thursday	2014	13	1100168
Saturday	2014	0	1379557
Sunday	2013	22	382198
Friday	2016	4	204974
Sunday	2016	1	949492
Saturday	2013	5	107837
Tuesday	2015	20	1277159
Friday	2013	15	465055
Wednesday	2014	23	1172330
Saturday	2016	0	1063689
Monday	2015	13	930878
Friday	2015	21	1287992
Sunday	2015	8	435489
Saturday	2014	18	1382141
Thursday	2014	7	1076177
Tuesday	2016	9	969901
Thursday	2015	11	1012074
Saturday	2015	14	1110165
Wednesday	2016	15	918648
Friday	2015	16	834126
Thursday	2015	0	713769
Wednesday	2015	10	1000132
Tuesday	2015	12	986677
Monday	2013	18	605058
Tuesday	2013	8	543689
Monday	2014	7	941913
Sunday	2015	9	637022
Saturday	2015	8	566109
Saturday	2013	1	541771
Thursday	2016	5	205099
Tuesday	2016	19	1175652
Saturday	2014	11	1128076
Tuesday	2014	15	1072466
Monday	2015	11	895634
Friday	2016	15	939653
Thursday	2014	18	1373120
Sunday	2015	18	1076667
Tuesday	2016	11	863581
Saturday	2015	16	997789
Thursday	2015	2	288790
Saturday	2016	16	918728
Sunday	2016	11	886978
Saturday	2016	18	1136761
Friday	2015	1	587438
Wednesday	2016	17	974749
Saturday	2015	11	1057781
Friday	2015	4	209035
Tuesday	2013	22	591479
Tuesday	2015	9	1071814
Tuesday	2016	13	894057
