Pickup_date	pickup_hour	Count
2014-02-12	7	19340
2014-02-22	16	9
2014-02-05	23	19283
2014-02-24	23	4448
2014-02-28	19	9493
2014-02-25	0	2872
2014-02-02	12	22084
2014-02-04	8	26967
2014-02-21	0	1
2014-02-25	12	6602
2014-02-15	0	14901
2014-02-16	2	11234
2014-02-12	8	22410
2014-02-13	4	2009
2014-02-07	12	22425
2014-02-26	23	17105
2014-02-07	5	5204
2014-02-02	7	5712
2014-02-01	8	11492
2014-02-04	20	29705
2014-02-16	4	5526
2014-02-07	16	17333
2014-02-21	7	121
2014-02-15	8	5083
2014-02-22	1	2
2014-02-25	2	1195
2014-02-10	13	15902
2014-02-02	10	17768
2014-02-19	10	10936
2014-02-18	1	2702
2014-02-16	17	12642
2014-02-13	11	6832
2014-02-23	4	6212
2014-02-18	6	5633
2014-02-08	22	31887
2014-02-15	20	13618
2014-02-25	15	6888
2014-02-10	9	19757
2014-02-14	4	1444
2014-02-25	22	6858
2014-02-12	12	18987
2014-02-15	17	12602
2014-02-22	3	3
2014-02-10	6	9619
2014-02-10	1	3710
2014-02-17	4	2110
2014-02-28	5	1669
2014-02-08	4	10413
2014-02-23	14	11393
2014-02-23	13	11646
2014-02-22	21	15
2014-02-08	5	4965
2014-02-14	7	9066
2014-02-17	17	12203
2014-02-23	18	12340
2014-02-09	21	18181
2014-02-02	22	29696
2014-02-20	20	1
2014-02-15	23	16165
2014-02-18	22	5
2014-02-09	22	15866
2014-02-10	16	15561
2014-02-06	2	4715
2014-02-10	3	1613
2014-02-15	12	12105
2014-02-24	9	6409
2014-02-28	10	6929
2014-02-13	18	12960
2014-02-18	16	9454
2014-02-23	1	13970
2014-02-25	10	6463
2014-02-05	1	7189
2014-02-04	2	3156
2014-02-09	4	12213
2014-02-02	13	21998
2014-02-14	20	17727
2014-02-24	20	7132
2014-02-07	10	23200
2014-02-26	1	2114
2014-02-17	22	9741
2014-02-01	10	19776
2014-02-12	23	18834
2014-02-06	9	25933
2014-02-05	15	20056
2014-02-14	6	4945
2014-02-13	1	7314
2014-02-02	2	25149
2014-02-11	5	3338
2014-02-05	5	3219
2014-02-16	7	2572
2014-02-09	3	18975
2014-02-11	19	26369
2014-02-15	5	2558
2014-02-24	8	6563
2014-02-02	19	15687
2014-02-03	3	4436
2014-02-09	11	23146
2014-02-09	2	24436
2014-02-09	5	5284
2014-02-13	6	5613
2014-02-04	17	23117
2014-02-05	17	22303
2014-02-27	17	18485
2014-02-06	21	30949
2014-02-07	13	22180
2014-02-22	8	2
2014-02-07	11	22829
2014-02-08	16	22978
2014-02-21	9	11721
2014-02-22	2	1
2014-02-09	10	19615
2014-02-13	8	9000
2014-02-13	9	8207
2014-02-23	6	2403
